score,time,target,code,predcit_time
-0.421,2025-07-11,2025-07-18,sh.600000,2025-07-11 20:06:42.903298
-0.4314,2025-07-11,2025-07-18,sh.600000,2025-07-11 20:06:42.903298
-0.4287,2025-07-11,2025-07-18,sh.600000,2025-07-11 20:06:42.903298
0.0498,2025-07-11,2025-07-18,sh.600009,2025-07-11 20:06:42.903298
0.04697,2025-07-11,2025-07-18,sh.600009,2025-07-11 20:06:42.903298
0.04993,2025-07-11,2025-07-18,sh.600009,2025-07-11 20:06:42.903298
0.071,2025-07-11,2025-07-18,sh.600010,2025-07-11 20:06:42.903298
0.05057,2025-07-11,2025-07-18,sh.600010,2025-07-11 20:06:42.903298
0.05057,2025-07-11,2025-07-18,sh.600010,2025-07-11 20:06:42.903298
0.0684,2025-07-11,2025-07-18,sh.600011,2025-07-11 20:06:42.903298
0.0684,2025-07-11,2025-07-18,sh.600011,2025-07-11 20:06:42.903298
0.0684,2025-07-11,2025-07-18,sh.600011,2025-07-11 20:06:42.903298
-0.1761,2025-07-11,2025-07-18,sh.600015,2025-07-11 20:06:42.903298
-0.1761,2025-07-11,2025-07-18,sh.600015,2025-07-11 20:06:42.903298
-0.1759,2025-07-11,2025-07-18,sh.600015,2025-07-11 20:06:42.903298
-0.4849,2025-07-11,2025-07-18,sh.600016,2025-07-11 20:06:42.903298
-0.4976,2025-07-11,2025-07-18,sh.600016,2025-07-11 20:06:42.903298
-0.4966,2025-07-11,2025-07-18,sh.600016,2025-07-11 20:06:42.903298
0.02667,2025-07-11,2025-07-18,sh.600018,2025-07-11 20:06:42.903298
0.02667,2025-07-11,2025-07-18,sh.600018,2025-07-11 20:06:42.903298
0.02667,2025-07-11,2025-07-18,sh.600018,2025-07-11 20:06:42.903298
-0.0694,2025-07-11,2025-07-18,sh.600019,2025-07-11 20:06:42.903298
-0.0705,2025-07-11,2025-07-18,sh.600019,2025-07-11 20:06:42.903298
-0.0705,2025-07-11,2025-07-18,sh.600019,2025-07-11 20:06:42.903298
0.00876,2025-07-11,2025-07-18,sh.600023,2025-07-11 20:06:42.903298
-0.00808,2025-07-11,2025-07-18,sh.600023,2025-07-11 20:06:42.903298
-0.00808,2025-07-11,2025-07-18,sh.600023,2025-07-11 20:06:42.903298
-0.01279,2025-07-11,2025-07-18,sh.600025,2025-07-11 20:06:42.903298
-0.01279,2025-07-11,2025-07-18,sh.600025,2025-07-11 20:06:42.903298
0.04858,2025-07-11,2025-07-18,sh.600025,2025-07-11 20:06:42.903298
0.1206,2025-07-11,2025-07-18,sh.600026,2025-07-11 20:06:42.903298
0.1206,2025-07-11,2025-07-18,sh.600026,2025-07-11 20:06:42.903298
0.1206,2025-07-11,2025-07-18,sh.600026,2025-07-11 20:06:42.903298
0.0748,2025-07-11,2025-07-18,sh.600027,2025-07-11 20:06:42.903298
0.05838,2025-07-11,2025-07-18,sh.600027,2025-07-11 20:06:42.903298
0.05838,2025-07-11,2025-07-18,sh.600027,2025-07-11 20:06:42.903298
-0.04578,2025-07-11,2025-07-18,sh.600028,2025-07-11 20:06:42.903298
-0.0456,2025-07-11,2025-07-18,sh.600028,2025-07-11 20:06:42.903298
-0.0456,2025-07-11,2025-07-18,sh.600028,2025-07-11 20:06:42.903298
0.09344,2025-07-11,2025-07-18,sh.600029,2025-07-11 20:06:42.903298
0.09344,2025-07-11,2025-07-18,sh.600029,2025-07-11 20:06:42.903298
0.09344,2025-07-11,2025-07-18,sh.600029,2025-07-11 20:06:42.903298
-0.04935,2025-07-11,2025-07-18,sh.600030,2025-07-11 20:06:42.903298
-0.074,2025-07-11,2025-07-18,sh.600030,2025-07-11 20:06:42.903298
-0.0811,2025-07-11,2025-07-18,sh.600030,2025-07-11 20:06:42.903298
-0.0961,2025-07-11,2025-07-18,sh.600031,2025-07-11 20:06:42.903298
-0.0967,2025-07-11,2025-07-18,sh.600031,2025-07-11 20:06:42.903298
-0.0961,2025-07-11,2025-07-18,sh.600031,2025-07-11 20:06:42.903298
-0.1807,2025-07-11,2025-07-18,sh.600036,2025-07-11 20:06:42.903298
-0.189,2025-07-11,2025-07-18,sh.600036,2025-07-11 20:06:42.903298
-0.189,2025-07-11,2025-07-18,sh.600036,2025-07-11 20:06:42.903298
-0.0163,2025-07-11,2025-07-18,sh.600039,2025-07-11 20:06:42.903298
-0.02873,2025-07-11,2025-07-18,sh.600039,2025-07-11 20:06:42.903298
0.014534,2025-07-11,2025-07-18,sh.600039,2025-07-11 20:06:42.903298
-0.262,2025-07-11,2025-07-18,sh.600048,2025-07-11 20:06:42.903298
-0.2695,2025-07-11,2025-07-18,sh.600048,2025-07-11 20:06:42.903298
-0.2651,2025-07-11,2025-07-18,sh.600048,2025-07-11 20:06:42.903298
0.01488,2025-07-11,2025-07-18,sh.600050,2025-07-11 20:06:42.903298
0.01488,2025-07-11,2025-07-18,sh.600050,2025-07-11 20:06:42.903298
0.01488,2025-07-11,2025-07-18,sh.600050,2025-07-11 20:06:42.903298
-0.01611,2025-07-11,2025-07-18,sh.600061,2025-07-11 20:06:42.903298
-0.01611,2025-07-11,2025-07-18,sh.600061,2025-07-11 20:06:42.903298
-0.0006,2025-07-11,2025-07-18,sh.600061,2025-07-11 20:06:42.903298
-0.2769,2025-07-11,2025-07-18,sh.600066,2025-07-11 20:06:42.903298
-0.2766,2025-07-11,2025-07-18,sh.600066,2025-07-11 20:06:42.903298
-0.2761,2025-07-11,2025-07-18,sh.600066,2025-07-11 20:06:42.903298
-0.0764,2025-07-11,2025-07-18,sh.600085,2025-07-11 20:06:42.903298
-0.07666,2025-07-11,2025-07-18,sh.600085,2025-07-11 20:06:42.903298
-0.08026,2025-07-11,2025-07-18,sh.600085,2025-07-11 20:06:42.903298
-0.02588,2025-07-11,2025-07-18,sh.600089,2025-07-11 20:06:42.903298
-0.02626,2025-07-11,2025-07-18,sh.600089,2025-07-11 20:06:42.903298
-0.02446,2025-07-11,2025-07-18,sh.600089,2025-07-11 20:06:42.903298
-0.14,2025-07-11,2025-07-18,sh.600104,2025-07-11 20:06:42.903298
