score,time,target,code,predcit_time
0.02872,2025-07-14,2025-07-21,sh.600000,2025-07-14 20:06:47.331459
0.02649,2025-07-14,2025-07-21,sh.600000,2025-07-14 20:06:47.331459
0.09,2025-07-14,2025-07-21,sh.600009,2025-07-14 20:06:47.331459
0.07556,2025-07-14,2025-07-21,sh.600009,2025-07-14 20:06:47.331459
-0.1456,2025-07-14,2025-07-21,sh.600010,2025-07-14 20:06:47.331459
-0.1456,2025-07-14,2025-07-21,sh.600010,2025-07-14 20:06:47.331459
0.091,2025-07-14,2025-07-21,sh.600011,2025-07-14 20:06:47.331459
0.0988,2025-07-14,2025-07-21,sh.600011,2025-07-14 20:06:47.331459
0.002684,2025-07-14,2025-07-21,sh.600015,2025-07-14 20:06:47.331459
-0.0004025,2025-07-14,2025-07-21,sh.600015,2025-07-14 20:06:47.331459
-0.1691,2025-07-14,2025-07-21,sh.600016,2025-07-14 20:06:47.331459
-0.1761,2025-07-14,2025-07-21,sh.600016,2025-07-14 20:06:47.331459
0.11206,2025-07-14,2025-07-21,sh.600018,2025-07-14 20:06:47.331459
0.1158,2025-07-14,2025-07-21,sh.600018,2025-07-14 20:06:47.331459
0.00143,2025-07-14,2025-07-21,sh.600019,2025-07-14 20:06:47.331459
0.00143,2025-07-14,2025-07-21,sh.600019,2025-07-14 20:06:47.331459
0.0637,2025-07-14,2025-07-21,sh.600023,2025-07-14 20:06:47.331459
0.0753,2025-07-14,2025-07-21,sh.600023,2025-07-14 20:06:47.331459
-0.01383,2025-07-14,2025-07-21,sh.600025,2025-07-14 20:06:47.331459
0.014626,2025-07-14,2025-07-21,sh.600025,2025-07-14 20:06:47.331459
0.10156,2025-07-14,2025-07-21,sh.600026,2025-07-14 20:06:47.331459
0.10156,2025-07-14,2025-07-21,sh.600026,2025-07-14 20:06:47.331459
0.03845,2025-07-14,2025-07-21,sh.600027,2025-07-14 20:06:47.331459
0.03845,2025-07-14,2025-07-21,sh.600027,2025-07-14 20:06:47.331459
0.02628,2025-07-14,2025-07-21,sh.600028,2025-07-14 20:06:47.331459
0.02663,2025-07-14,2025-07-21,sh.600028,2025-07-14 20:06:47.331459
0.09344,2025-07-14,2025-07-21,sh.600029,2025-07-14 20:06:47.331459
0.09344,2025-07-14,2025-07-21,sh.600029,2025-07-14 20:06:47.331459
-0.1024,2025-07-14,2025-07-21,sh.600030,2025-07-14 20:06:47.331459
-0.1285,2025-07-14,2025-07-21,sh.600030,2025-07-14 20:06:47.331459
