score,time,target,code,predcit_time
-0.1033,2025-10-17,2025-10-24,sh.600000,2025-10-17 20:06:25.587904
-0.09393,2025-10-17,2025-10-24,sh.600000,2025-10-17 20:06:25.587904
-0.00902,2025-10-17,2025-10-24,sh.600009,2025-10-17 20:06:25.587904
-0.03802,2025-10-17,2025-10-24,sh.600009,2025-10-17 20:06:25.587904
-0.1556,2025-10-17,2025-10-24,sh.600010,2025-10-17 20:06:25.587904
-0.1556,2025-10-17,2025-10-24,sh.600010,2025-10-17 20:06:25.587904
0.02133,2025-10-17,2025-10-24,sh.600011,2025-10-17 20:06:25.587904
0.02133,2025-10-17,2025-10-24,sh.600011,2025-10-17 20:06:25.587904
0.008575,2025-10-17,2025-10-24,sh.600015,2025-10-17 20:06:25.587904
0.00856,2025-10-17,2025-10-24,sh.600015,2025-10-17 20:06:25.587904
-0.1063,2025-10-17,2025-10-24,sh.600016,2025-10-17 20:06:25.587904
-0.1063,2025-10-17,2025-10-24,sh.600016,2025-10-17 20:06:25.587904
0.04776,2025-10-17,2025-10-24,sh.600018,2025-10-17 20:06:25.587904
0.05884,2025-10-17,2025-10-24,sh.600018,2025-10-17 20:06:25.587904
0.00598,2025-10-17,2025-10-24,sh.600019,2025-10-17 20:06:25.587904
0.00598,2025-10-17,2025-10-24,sh.600019,2025-10-17 20:06:25.587904
0.07135,2025-10-17,2025-10-24,sh.600023,2025-10-17 20:06:25.587904
0.05576,2025-10-17,2025-10-24,sh.600023,2025-10-17 20:06:25.587904
0.052,2025-10-17,2025-10-24,sh.600025,2025-10-17 20:06:25.587904
0.052,2025-10-17,2025-10-24,sh.600025,2025-10-17 20:06:25.587904
-0.0203,2025-10-17,2025-10-24,sh.600026,2025-10-17 20:06:25.587904
-0.01527,2025-10-17,2025-10-24,sh.600026,2025-10-17 20:06:25.587904
0.00458,2025-10-17,2025-10-24,sh.600027,2025-10-17 20:06:25.587904
0.00458,2025-10-17,2025-10-24,sh.600027,2025-10-17 20:06:25.587904
0.02623,2025-10-17,2025-10-24,sh.600028,2025-10-17 20:06:25.587904
0.02623,2025-10-17,2025-10-24,sh.600028,2025-10-17 20:06:25.587904
0.04764,2025-10-17,2025-10-24,sh.600029,2025-10-17 20:06:25.587904
0.04724,2025-10-17,2025-10-24,sh.600029,2025-10-17 20:06:25.587904
-0.271,2025-10-17,2025-10-24,sh.600030,2025-10-17 20:06:25.587904
-0.2764,2025-10-17,2025-10-24,sh.600030,2025-10-17 20:06:25.587904
-0.3276,2025-10-17,2025-10-24,sh.600031,2025-10-17 20:06:25.587904
-0.3293,2025-10-17,2025-10-24,sh.600031,2025-10-17 20:06:25.587904
