score,time,target,code,predcit_time
-0.087,2025-06-09,2025-06-16,sh.600000,2025-06-09 20:06:56.747536
-0.0923,2025-06-09,2025-06-16,sh.600000,2025-06-09 20:06:56.747536
0.11914,2025-06-09,2025-06-16,sh.600009,2025-06-09 20:06:56.747536
0.103,2025-06-09,2025-06-16,sh.600009,2025-06-09 20:06:56.747536
0.0811,2025-06-09,2025-06-16,sh.600010,2025-06-09 20:06:56.747536
0.0811,2025-06-09,2025-06-16,sh.600010,2025-06-09 20:06:56.747536
0.04617,2025-06-09,2025-06-16,sh.600011,2025-06-09 20:06:56.747536
0.0459,2025-06-09,2025-06-16,sh.600011,2025-06-09 20:06:56.747536
0.03001,2025-06-09,2025-06-16,sh.600015,2025-06-09 20:06:56.747536
0.03001,2025-06-09,2025-06-16,sh.600015,2025-06-09 20:06:56.747536
0.1161,2025-06-09,2025-06-16,sh.600016,2025-06-09 20:06:56.747536
0.1133,2025-06-09,2025-06-16,sh.600016,2025-06-09 20:06:56.747536
0.1302,2025-06-09,2025-06-16,sh.600018,2025-06-09 20:06:56.747536
0.1302,2025-06-09,2025-06-16,sh.600018,2025-06-09 20:06:56.747536
0.02495,2025-06-09,2025-06-16,sh.600019,2025-06-09 20:06:56.747536
0.02495,2025-06-09,2025-06-16,sh.600019,2025-06-09 20:06:56.747536
-0.004913,2025-06-09,2025-06-16,sh.600023,2025-06-09 20:06:56.747536
-0.004913,2025-06-09,2025-06-16,sh.600023,2025-06-09 20:06:56.747536
0.11566,2025-06-09,2025-06-16,sh.600025,2025-06-09 20:06:56.747536
0.0993,2025-06-09,2025-06-16,sh.600025,2025-06-09 20:06:56.747536
0.055,2025-06-09,2025-06-16,sh.600026,2025-06-09 20:06:56.747536
0.0458,2025-06-09,2025-06-16,sh.600026,2025-06-09 20:06:56.747536
0.05933,2025-06-09,2025-06-16,sh.600027,2025-06-09 20:06:56.747536
0.05933,2025-06-09,2025-06-16,sh.600027,2025-06-09 20:06:56.747536
0.0261,2025-06-09,2025-06-16,sh.600028,2025-06-09 20:06:56.747536
0.00997,2025-06-09,2025-06-16,sh.600028,2025-06-09 20:06:56.747536
0.07855,2025-06-09,2025-06-16,sh.600029,2025-06-09 20:06:56.747536
0.07855,2025-06-09,2025-06-16,sh.600029,2025-06-09 20:06:56.747536
0.1298,2025-06-09,2025-06-16,sh.600030,2025-06-09 20:06:56.747536
0.1707,2025-06-09,2025-06-16,sh.600030,2025-06-09 20:06:56.747536
-0.06055,2025-06-09,2025-06-16,sh.600031,2025-06-09 20:06:56.747536
-0.05927,2025-06-09,2025-06-16,sh.600031,2025-06-09 20:06:56.747536
0.03275,2025-06-09,2025-06-16,sh.600036,2025-06-09 20:06:56.747536
0.05014,2025-06-09,2025-06-16,sh.600036,2025-06-09 20:06:56.747536
-0.1655,2025-06-09,2025-06-16,sh.600039,2025-06-09 20:06:56.747536
-0.1655,2025-06-09,2025-06-16,sh.600039,2025-06-09 20:06:56.747536
-0.169,2025-06-09,2025-06-16,sh.600048,2025-06-09 20:06:56.747536
-0.1852,2025-06-09,2025-06-16,sh.600048,2025-06-09 20:06:56.747536
0.01327,2025-06-09,2025-06-16,sh.600050,2025-06-09 20:06:56.747536
0.01327,2025-06-09,2025-06-16,sh.600050,2025-06-09 20:06:56.747536
0.06195,2025-06-09,2025-06-16,sh.600061,2025-06-09 20:06:56.747536
0.06183,2025-06-09,2025-06-16,sh.600061,2025-06-09 20:06:56.747536
-0.267,2025-06-09,2025-06-16,sh.600066,2025-06-09 20:06:56.747536
-0.2659,2025-06-09,2025-06-16,sh.600066,2025-06-09 20:06:56.747536
-0.03424,2025-06-09,2025-06-16,sh.600085,2025-06-09 20:06:56.747536
-0.03818,2025-06-09,2025-06-16,sh.600085,2025-06-09 20:06:56.747536
-0.00375,2025-06-09,2025-06-16,sh.600089,2025-06-09 20:06:56.747536
-0.003708,2025-06-09,2025-06-16,sh.600089,2025-06-09 20:06:56.747536
0.2625,2025-06-09,2025-06-16,sh.600104,2025-06-09 20:06:56.747536
0.2625,2025-06-09,2025-06-16,sh.600104,2025-06-09 20:06:56.747536
-0.08746,2025-06-09,2025-06-16,sh.600111,2025-06-09 20:06:56.747536
-0.0912,2025-06-09,2025-06-16,sh.600111,2025-06-09 20:06:56.747536
0.00454,2025-06-09,2025-06-16,sh.600115,2025-06-09 20:06:56.747536
0.00454,2025-06-09,2025-06-16,sh.600115,2025-06-09 20:06:56.747536
0.0932,2025-06-09,2025-06-16,sh.600150,2025-06-09 20:06:56.747536
0.09985,2025-06-09,2025-06-16,sh.600150,2025-06-09 20:06:56.747536
0.00858,2025-06-09,2025-06-16,sh.600160,2025-06-09 20:06:56.747536
0.011,2025-06-09,2025-06-16,sh.600160,2025-06-09 20:06:56.747536
-0.03464,2025-06-09,2025-06-16,sh.600161,2025-06-09 20:06:56.747536
-0.0399,2025-06-09,2025-06-16,sh.600161,2025-06-09 20:06:56.747536
-0.1394,2025-06-09,2025-06-16,sh.600176,2025-06-09 20:06:56.747536
-0.1384,2025-06-09,2025-06-16,sh.600176,2025-06-09 20:06:56.747536
-0.321,2025-06-09,2025-06-16,sh.600183,2025-06-09 20:06:56.747536
-0.3132,2025-06-09,2025-06-16,sh.600183,2025-06-09 20:06:56.747536
0.11273,2025-06-09,2025-06-16,sh.600188,2025-06-09 20:06:56.747536
0.11273,2025-06-09,2025-06-16,sh.600188,2025-06-09 20:06:56.747536
-0.1643,2025-06-09,2025-06-16,sh.600196,2025-06-09 20:06:56.747536
-0.1637,2025-06-09,2025-06-16,sh.600196,2025-06-09 20:06:56.747536
0.02258,2025-06-09,2025-06-16,sh.600219,2025-06-09 20:06:56.747536
0.0245,2025-06-09,2025-06-16,sh.600219,2025-06-09 20:06:56.747536
0.1952,2025-06-09,2025-06-16,sh.600233,2025-06-09 20:06:56.747536
0.1952,2025-06-09,2025-06-16,sh.600233,2025-06-09 20:06:56.747536
-0.2289,2025-06-09,2025-06-16,sh.600276,2025-06-09 20:06:56.747536
-0.2289,2025-06-09,2025-06-16,sh.600276,2025-06-09 20:06:56.747536
-0.1464,2025-06-09,2025-06-16,sh.600309,2025-06-09 20:06:56.747536
-0.1464,2025-06-09,2025-06-16,sh.600309,2025-06-09 20:06:56.747536
0.11804,2025-06-09,2025-06-16,sh.600332,2025-06-09 20:06:56.747536
0.11804,2025-06-09,2025-06-16,sh.600332,2025-06-09 20:06:56.747536
0.1497,2025-06-09,2025-06-16,sh.600346,2025-06-09 20:06:56.747536
0.1492,2025-06-09,2025-06-16,sh.600346,2025-06-09 20:06:56.747536
0.03607,2025-06-09,2025-06-16,sh.600362,2025-06-09 20:06:56.747536
0.03638,2025-06-09,2025-06-16,sh.600362,2025-06-09 20:06:56.747536
0.172,2025-06-09,2025-06-16,sh.600372,2025-06-09 20:06:56.747536
0.172,2025-06-09,2025-06-16,sh.600372,2025-06-09 20:06:56.747536
-0.077,2025-06-09,2025-06-16,sh.600377,2025-06-09 20:06:56.747536
-0.08527,2025-06-09,2025-06-16,sh.600377,2025-06-09 20:06:56.747536
-0.05148,2025-06-09,2025-06-16,sh.600406,2025-06-09 20:06:56.747536
-0.05148,2025-06-09,2025-06-16,sh.600406,2025-06-09 20:06:56.747536
-0.703,2025-06-09,2025-06-16,sh.600415,2025-06-09 20:06:56.747536
-0.7065,2025-06-09,2025-06-16,sh.600415,2025-06-09 20:06:56.747536
-0.1298,2025-06-09,2025-06-16,sh.600426,2025-06-09 20:06:56.747536
-0.1298,2025-06-09,2025-06-16,sh.600426,2025-06-09 20:06:56.747536
-0.04276,2025-06-09,2025-06-16,sh.600436,2025-06-09 20:06:56.747536
-0.04315,2025-06-09,2025-06-16,sh.600436,2025-06-09 20:06:56.747536
-0.3118,2025-06-09,2025-06-16,sh.600438,2025-06-09 20:06:56.747536
-0.3005,2025-06-09,2025-06-16,sh.600438,2025-06-09 20:06:56.747536
-0.1508,2025-06-09,2025-06-16,sh.600460,2025-06-09 20:06:56.747536
-0.1564,2025-06-09,2025-06-16,sh.600460,2025-06-09 20:06:56.747536
0.08014,2025-06-09,2025-06-16,sh.600482,2025-06-09 20:06:56.747536
0.1364,2025-06-09,2025-06-16,sh.600482,2025-06-09 20:06:56.747536
0.07623,2025-06-09,2025-06-16,sh.600489,2025-06-09 20:06:56.747536
0.0756,2025-06-09,2025-06-16,sh.600489,2025-06-09 20:06:56.747536
0.03397,2025-06-09,2025-06-16,sh.600515,2025-06-09 20:06:56.747536
0.03397,2025-06-09,2025-06-16,sh.600515,2025-06-09 20:06:56.747536
-0.1764,2025-06-09,2025-06-16,sh.600519,2025-06-09 20:06:56.747536
-0.1764,2025-06-09,2025-06-16,sh.600519,2025-06-09 20:06:56.747536
-0.1028,2025-06-09,2025-06-16,sh.600547,2025-06-09 20:06:56.747536
-0.10004,2025-06-09,2025-06-16,sh.600547,2025-06-09 20:06:56.747536
-0.07733,2025-06-09,2025-06-16,sh.600570,2025-06-09 20:06:56.747536
-0.0774,2025-06-09,2025-06-16,sh.600570,2025-06-09 20:06:56.747536
0.1189,2025-06-09,2025-06-16,sh.600584,2025-06-09 20:06:56.747536
0.1307,2025-06-09,2025-06-16,sh.600584,2025-06-09 20:06:56.747536
0.1411,2025-06-09,2025-06-16,sh.600585,2025-06-09 20:06:56.747536
0.1163,2025-06-09,2025-06-16,sh.600585,2025-06-09 20:06:56.747536
-0.185,2025-06-09,2025-06-16,sh.600588,2025-06-09 20:06:56.747536
-0.1836,2025-06-09,2025-06-16,sh.600588,2025-06-09 20:06:56.747536
0.01434,2025-06-09,2025-06-16,sh.600600,2025-06-09 20:06:56.747536
0.01434,2025-06-09,2025-06-16,sh.600600,2025-06-09 20:06:56.747536
-0.2837,2025-06-09,2025-06-16,sh.600660,2025-06-09 20:06:56.747536
-0.2837,2025-06-09,2025-06-16,sh.600660,2025-06-09 20:06:56.747536
0.05447,2025-06-09,2025-06-16,sh.600674,2025-06-09 20:06:56.747536
0.06287,2025-06-09,2025-06-16,sh.600674,2025-06-09 20:06:56.747536
-0.047,2025-06-09,2025-06-16,sh.600690,2025-06-09 20:06:56.747536
-0.04724,2025-06-09,2025-06-16,sh.600690,2025-06-09 20:06:56.747536
-0.05807,2025-06-09,2025-06-16,sh.600741,2025-06-09 20:06:56.747536
-0.05847,2025-06-09,2025-06-16,sh.600741,2025-06-09 20:06:56.747536
0.04453,2025-06-09,2025-06-16,sh.600745,2025-06-09 20:06:56.747536
