score,time,target,code,predcit_time
-5.4326525,2025-08-21,2025-08-28,sh.600000,2025-08-21 20:16:53.520516
-5.4065285,2025-08-21,2025-08-28,sh.600009,2025-08-21 20:16:53.520516
-5.35546,2025-08-21,2025-08-28,sh.600010,2025-08-21 20:16:53.520516
-5.250205,2025-08-21,2025-08-28,sh.600011,2025-08-21 20:16:53.520516
-5.2419133,2025-08-21,2025-08-28,sh.600015,2025-08-21 20:16:53.520516
-5.280606,2025-08-21,2025-08-28,sh.600016,2025-08-21 20:16:53.520516
-5.4780173,2025-08-21,2025-08-28,sh.600018,2025-08-21 20:16:53.520516
-5.3334475,2025-08-21,2025-08-28,sh.600019,2025-08-21 20:16:53.520516
-5.363953,2025-08-21,2025-08-28,sh.600023,2025-08-21 20:16:53.520516
-5.333602,2025-08-21,2025-08-28,sh.600025,2025-08-21 20:16:53.520516
-5.3465533,2025-08-21,2025-08-28,sh.600026,2025-08-21 20:16:53.520516
-5.3313494,2025-08-21,2025-08-28,sh.600027,2025-08-21 20:16:53.520516
-5.3033476,2025-08-21,2025-08-28,sh.600028,2025-08-21 20:16:53.520516
-5.4186797,2025-08-21,2025-08-28,sh.600029,2025-08-21 20:16:53.520516
-5.3730354,2025-08-21,2025-08-28,sh.600030,2025-08-21 20:16:53.520516
-5.3707924,2025-08-21,2025-08-28,sh.600031,2025-08-21 20:16:53.520516
-5.429334,2025-08-21,2025-08-28,sh.600036,2025-08-21 20:16:53.520516
-5.436572,2025-08-21,2025-08-28,sh.600039,2025-08-21 20:16:53.520516
-5.410311,2025-08-21,2025-08-28,sh.600048,2025-08-21 20:16:53.520516
-5.445553,2025-08-21,2025-08-28,sh.600050,2025-08-21 20:16:53.520516
-5.4910073,2025-08-21,2025-08-28,sh.600061,2025-08-21 20:16:53.520516
-5.422183,2025-08-21,2025-08-28,sh.600066,2025-08-21 20:16:53.520516
-5.3869405,2025-08-21,2025-08-28,sh.600085,2025-08-21 20:16:53.520516
-5.5192385,2025-08-21,2025-08-28,sh.600089,2025-08-21 20:16:53.520516
-5.471103,2025-08-21,2025-08-28,sh.600104,2025-08-21 20:16:53.520516
-5.403555,2025-08-21,2025-08-28,sh.600111,2025-08-21 20:16:53.520516
