code,time,target,score,predcit_time
sh.600000,2025-09-29,2025-10-06,0.1326904296875,2025-09-29 20:02:30.032217
sh.600009,2025-09-29,2025-10-06,0.11065673828125,2025-09-29 20:02:30.032217
sh.600010,2025-09-29,2025-10-06,0.0850830078125,2025-09-29 20:02:30.032217
sh.600011,2025-09-29,2025-10-06,0.12139892578125,2025-09-29 20:02:30.032217
sh.600015,2025-09-29,2025-10-06,0.1351318359375,2025-09-29 20:02:30.032217
sh.600016,2025-09-29,2025-10-06,0.1231689453125,2025-09-29 20:02:30.032217
sh.600018,2025-09-29,2025-10-06,0.11395263671875,2025-09-29 20:02:30.032217
sh.600019,2025-09-29,2025-10-06,0.1494140625,2025-09-29 20:02:30.032217
sh.600023,2025-09-29,2025-10-06,0.0953369140625,2025-09-29 20:02:30.032217
sh.600025,2025-09-29,2025-10-06,0.145751953125,2025-09-29 20:02:30.032217
sh.600026,2025-09-29,2025-10-06,0.1341552734375,2025-09-29 20:02:30.032217
sh.600027,2025-09-29,2025-10-06,0.2301025390625,2025-09-29 20:02:30.032217
sh.600028,2025-09-29,2025-10-06,0.1416015625,2025-09-29 20:02:30.032217
sh.600029,2025-09-29,2025-10-06,0.1304931640625,2025-09-29 20:02:30.032217
sh.600030,2025-09-29,2025-10-06,0.11199951171875,2025-09-29 20:02:30.032217
sh.600031,2025-09-29,2025-10-06,0.1318359375,2025-09-29 20:02:30.032217
sh.600036,2025-09-29,2025-10-06,0.091064453125,2025-09-29 20:02:30.032217
sh.600039,2025-09-29,2025-10-06,0.1339111328125,2025-09-29 20:02:30.032217
sh.600048,2025-09-29,2025-10-06,0.091552734375,2025-09-29 20:02:30.032217
sh.600050,2025-09-29,2025-10-06,0.082275390625,2025-09-29 20:02:30.032217
sh.600061,2025-09-29,2025-10-06,0.11376953125,2025-09-29 20:02:30.032217
sh.600066,2025-09-29,2025-10-06,0.1329345703125,2025-09-29 20:02:30.032217
sh.600085,2025-09-29,2025-10-06,0.1190185546875,2025-09-29 20:02:30.032217
sh.600089,2025-09-29,2025-10-06,0.11676025390625,2025-09-29 20:02:30.032217
sh.600104,2025-09-29,2025-10-06,0.1273193359375,2025-09-29 20:02:30.032217
sh.600111,2025-09-29,2025-10-06,0.08770751953125,2025-09-29 20:02:30.032217
sh.600115,2025-09-29,2025-10-06,0.1248779296875,2025-09-29 20:02:30.032217
sh.600150,2025-09-29,2025-10-06,0.14013671875,2025-09-29 20:02:30.032217
sh.600160,2025-09-29,2025-10-06,0.167724609375,2025-09-29 20:02:30.032217
sh.600161,2025-09-29,2025-10-06,0.105224609375,2025-09-29 20:02:30.032217
sh.600176,2025-09-29,2025-10-06,0.08978271484375,2025-09-29 20:02:30.032217
sh.600183,2025-09-29,2025-10-06,0.34423828125,2025-09-29 20:02:30.032217
sh.600188,2025-09-29,2025-10-06,0.17138671875,2025-09-29 20:02:30.032217
sh.600196,2025-09-29,2025-10-06,0.10614013671875,2025-09-29 20:02:30.032217
sh.600219,2025-09-29,2025-10-06,0.150390625,2025-09-29 20:02:30.032217
sh.600233,2025-09-29,2025-10-06,0.1300048828125,2025-09-29 20:02:30.032217
sh.600276,2025-09-29,2025-10-06,0.132568359375,2025-09-29 20:02:30.032217
sh.600309,2025-09-29,2025-10-06,0.1104736328125,2025-09-29 20:02:30.032217
sh.600332,2025-09-29,2025-10-06,0.1265869140625,2025-09-29 20:02:30.032217
