code,time,target,score,predcit_time
sh.600000,2025-07-01,2025-07-08,0.227783203125,2025-07-01 20:03:54.208475
sh.600009,2025-07-01,2025-07-08,0.1351318359375,2025-07-01 20:03:54.208475
sh.600010,2025-07-01,2025-07-08,0.10968017578125,2025-07-01 20:03:54.208475
sh.600011,2025-07-01,2025-07-08,0.08282470703125,2025-07-01 20:03:54.208475
sh.600015,2025-07-01,2025-07-08,0.285888671875,2025-07-01 20:03:54.208475
sh.600016,2025-07-01,2025-07-08,0.3173828125,2025-07-01 20:03:54.208475
sh.600018,2025-07-01,2025-07-08,0.1019287109375,2025-07-01 20:03:54.208475
sh.600019,2025-07-01,2025-07-08,0.103759765625,2025-07-01 20:03:54.208475
sh.600023,2025-07-01,2025-07-08,0.089111328125,2025-07-01 20:03:54.208475
sh.600025,2025-07-01,2025-07-08,0.21533203125,2025-07-01 20:03:54.208475
sh.600026,2025-07-01,2025-07-08,0.1312255859375,2025-07-01 20:03:54.208475
sh.600027,2025-07-01,2025-07-08,0.2626953125,2025-07-01 20:03:54.208475
sh.600028,2025-07-01,2025-07-08,0.09552001953125,2025-07-01 20:03:54.208475
sh.600029,2025-07-01,2025-07-08,0.12176513671875,2025-07-01 20:03:54.208475
sh.600030,2025-07-01,2025-07-08,0.13720703125,2025-07-01 20:03:54.208475
sh.600031,2025-07-01,2025-07-08,0.135986328125,2025-07-01 20:03:54.208475
sh.600036,2025-07-01,2025-07-08,0.185546875,2025-07-01 20:03:54.208475
sh.600039,2025-07-01,2025-07-08,0.1729736328125,2025-07-01 20:03:54.208475
sh.600048,2025-07-01,2025-07-08,0.12359619140625,2025-07-01 20:03:54.208475
sh.600050,2025-07-01,2025-07-08,0.147705078125,2025-07-01 20:03:54.208475
sh.600061,2025-07-01,2025-07-08,0.1632080078125,2025-07-01 20:03:54.208475
sh.600066,2025-07-01,2025-07-08,0.09967041015625,2025-07-01 20:03:54.208475
sh.600085,2025-07-01,2025-07-08,0.115966796875,2025-07-01 20:03:54.208475
sh.600089,2025-07-01,2025-07-08,0.1585693359375,2025-07-01 20:03:54.208475
sh.600104,2025-07-01,2025-07-08,0.11578369140625,2025-07-01 20:03:54.208475
sh.600111,2025-07-01,2025-07-08,0.1900634765625,2025-07-01 20:03:54.208475
sh.600115,2025-07-01,2025-07-08,0.11260986328125,2025-07-01 20:03:54.208475
sh.600150,2025-07-01,2025-07-08,0.2039794921875,2025-07-01 20:03:54.208475
sh.600160,2025-07-01,2025-07-08,0.216552734375,2025-07-01 20:03:54.208475
sh.600161,2025-07-01,2025-07-08,0.151611328125,2025-07-01 20:03:54.208475
sh.600176,2025-07-01,2025-07-08,0.12548828125,2025-07-01 20:03:54.208475
sh.600183,2025-07-01,2025-07-08,0.277099609375,2025-07-01 20:03:54.208475
sh.600188,2025-07-01,2025-07-08,0.130126953125,2025-07-01 20:03:54.208475
sh.600196,2025-07-01,2025-07-08,0.2015380859375,2025-07-01 20:03:54.208475
sh.600219,2025-07-01,2025-07-08,0.18994140625,2025-07-01 20:03:54.208475
sh.600233,2025-07-01,2025-07-08,0.1246337890625,2025-07-01 20:03:54.208475
sh.600276,2025-07-01,2025-07-08,0.08343505859375,2025-07-01 20:03:54.208475
sh.600309,2025-07-01,2025-07-08,0.09320068359375,2025-07-01 20:03:54.208475
sh.600332,2025-07-01,2025-07-08,0.1627197265625,2025-07-01 20:03:54.208475
sh.600346,2025-07-01,2025-07-08,0.142822265625,2025-07-01 20:03:54.208475
sh.600362,2025-07-01,2025-07-08,0.2381591796875,2025-07-01 20:03:54.208475
sh.600372,2025-07-01,2025-07-08,0.2098388671875,2025-07-01 20:03:54.208475
sh.600377,2025-07-01,2025-07-08,0.145263671875,2025-07-01 20:03:54.208475
sh.600406,2025-07-01,2025-07-08,0.1376953125,2025-07-01 20:03:54.208475
sh.600415,2025-07-01,2025-07-08,0.1549072265625,2025-07-01 20:03:54.208475
sh.600426,2025-07-01,2025-07-08,0.1490478515625,2025-07-01 20:03:54.208475
sh.600436,2025-07-01,2025-07-08,0.1519775390625,2025-07-01 20:03:54.208475
sh.600438,2025-07-01,2025-07-08,0.11578369140625,2025-07-01 20:03:54.208475
sh.600460,2025-07-01,2025-07-08,0.083740234375,2025-07-01 20:03:54.208475
sh.600482,2025-07-01,2025-07-08,0.174072265625,2025-07-01 20:03:54.208475
sh.600489,2025-07-01,2025-07-08,0.2208251953125,2025-07-01 20:03:54.208475
sh.600515,2025-07-01,2025-07-08,0.1171875,2025-07-01 20:03:54.208475
sh.600519,2025-07-01,2025-07-08,0.216552734375,2025-07-01 20:03:54.208475
sh.600547,2025-07-01,2025-07-08,0.14111328125,2025-07-01 20:03:54.208475
sh.600570,2025-07-01,2025-07-08,0.1444091796875,2025-07-01 20:03:54.208475
sh.600584,2025-07-01,2025-07-08,0.0965576171875,2025-07-01 20:03:54.208475
sh.600585,2025-07-01,2025-07-08,0.1697998046875,2025-07-01 20:03:54.208475
sh.600588,2025-07-01,2025-07-08,0.1268310546875,2025-07-01 20:03:54.208475
sh.600600,2025-07-01,2025-07-08,0.14404296875,2025-07-01 20:03:54.208475
sh.600660,2025-07-01,2025-07-08,0.120849609375,2025-07-01 20:03:54.208475
sh.600674,2025-07-01,2025-07-08,0.094482421875,2025-07-01 20:03:54.208475
sh.600690,2025-07-01,2025-07-08,0.1392822265625,2025-07-01 20:03:54.208475
sh.600741,2025-07-01,2025-07-08,0.09552001953125,2025-07-01 20:03:54.208475
sh.600760,2025-07-01,2025-07-08,0.2271728515625,2025-07-01 20:03:54.208475
sh.600795,2025-07-01,2025-07-08,0.1729736328125,2025-07-01 20:03:54.208475
sh.600803,2025-07-01,2025-07-08,0.11798095703125,2025-07-01 20:03:54.208475
sh.600809,2025-07-01,2025-07-08,0.1773681640625,2025-07-01 20:03:54.208475
sh.600845,2025-07-01,2025-07-08,0.1697998046875,2025-07-01 20:03:54.208475
sh.600875,2025-07-01,2025-07-08,0.1685791015625,2025-07-01 20:03:54.208475
sh.600886,2025-07-01,2025-07-08,0.126220703125,2025-07-01 20:03:54.208475
sh.600887,2025-07-01,2025-07-08,0.145263671875,2025-07-01 20:03:54.208475
sh.600893,2025-07-01,2025-07-08,0.20166015625,2025-07-01 20:03:54.208475
sh.600900,2025-07-01,2025-07-08,0.0743408203125,2025-07-01 20:03:54.208475
sh.600905,2025-07-01,2025-07-08,0.09136962890625,2025-07-01 20:03:54.208475
sh.600918,2025-07-01,2025-07-08,0.1453857421875,2025-07-01 20:03:54.208475
sh.600919,2025-07-01,2025-07-08,0.2105712890625,2025-07-01 20:03:54.208475
sh.600926,2025-07-01,2025-07-08,0.20556640625,2025-07-01 20:03:54.208475
sh.600938,2025-07-01,2025-07-08,0.1910400390625,2025-07-01 20:03:54.208475
sh.600941,2025-07-01,2025-07-08,0.2314453125,2025-07-01 20:03:54.208475
sh.600958,2025-07-01,2025-07-08,0.160888671875,2025-07-01 20:03:54.208475
sh.600989,2025-07-01,2025-07-08,0.1728515625,2025-07-01 20:03:54.208475
sh.600999,2025-07-01,2025-07-08,0.148681640625,2025-07-01 20:03:54.208475
sh.601006,2025-07-01,2025-07-08,0.1553955078125,2025-07-01 20:03:54.208475
sh.601009,2025-07-01,2025-07-08,0.281982421875,2025-07-01 20:03:54.208475
sh.601012,2025-07-01,2025-07-08,0.1253662109375,2025-07-01 20:03:54.208475
sh.601021,2025-07-01,2025-07-08,0.11456298828125,2025-07-01 20:03:54.208475
sh.601058,2025-07-01,2025-07-08,0.19482421875,2025-07-01 20:03:54.208475
sh.601066,2025-07-01,2025-07-08,0.132080078125,2025-07-01 20:03:54.208475
