code,time,target,score,predcit_time
sh.600000,2025-12-03,2025-12-10,0.123046875,2025-12-04 20:03:18.768716
sh.600000,2025-12-03,2025-12-10,0.1231689453125,2025-12-04 20:03:18.768716
sh.600000,2025-12-03,2025-12-10,0.12359619140625,2025-12-04 20:03:18.768716
sh.600000,2025-12-04,2025-12-11,0.1572265625,2025-12-04 20:03:18.768716
sh.600009,2025-12-03,2025-12-10,0.08740234375,2025-12-04 20:03:18.768716
sh.600009,2025-12-03,2025-12-10,0.08770751953125,2025-12-04 20:03:18.768716
sh.600009,2025-12-03,2025-12-10,0.0880126953125,2025-12-04 20:03:18.768716
sh.600009,2025-12-04,2025-12-11,0.1209716796875,2025-12-04 20:03:18.768716
sh.600010,2025-12-03,2025-12-10,0.11126708984375,2025-12-04 20:03:18.768716
sh.600010,2025-12-03,2025-12-10,0.1114501953125,2025-12-04 20:03:18.768716
sh.600010,2025-12-03,2025-12-10,0.11199951171875,2025-12-04 20:03:18.768716
sh.600010,2025-12-04,2025-12-11,0.1270751953125,2025-12-04 20:03:18.768716
sh.600011,2025-12-03,2025-12-10,0.075439453125,2025-12-04 20:03:18.768716
sh.600011,2025-12-03,2025-12-10,0.0755615234375,2025-12-04 20:03:18.768716
sh.600011,2025-12-03,2025-12-10,0.07586669921875,2025-12-04 20:03:18.768716
sh.600011,2025-12-04,2025-12-11,0.140869140625,2025-12-04 20:03:18.768716
sh.600015,2025-12-03,2025-12-10,0.11297607421875,2025-12-04 20:03:18.768716
sh.600015,2025-12-03,2025-12-10,0.1131591796875,2025-12-04 20:03:18.768716
sh.600015,2025-12-03,2025-12-10,0.11358642578125,2025-12-04 20:03:18.768716
sh.600015,2025-12-04,2025-12-11,0.130859375,2025-12-04 20:03:18.768716
sh.600016,2025-12-03,2025-12-10,0.12042236328125,2025-12-04 20:03:18.768716
sh.600016,2025-12-03,2025-12-10,0.12066650390625,2025-12-04 20:03:18.768716
sh.600016,2025-12-03,2025-12-10,0.120849609375,2025-12-04 20:03:18.768716
sh.600016,2025-12-04,2025-12-11,0.124755859375,2025-12-04 20:03:18.768716
sh.600018,2025-12-03,2025-12-10,0.1229248046875,2025-12-04 20:03:18.768716
sh.600018,2025-12-03,2025-12-10,0.1229248046875,2025-12-04 20:03:18.768716
sh.600018,2025-12-03,2025-12-10,0.12286376953125,2025-12-04 20:03:18.768716
sh.600018,2025-12-04,2025-12-11,0.1309814453125,2025-12-04 20:03:18.768716
sh.600019,2025-12-03,2025-12-10,0.06866455078125,2025-12-04 20:03:18.768716
sh.600019,2025-12-03,2025-12-10,0.06890869140625,2025-12-04 20:03:18.768716
sh.600019,2025-12-03,2025-12-10,0.06903076171875,2025-12-04 20:03:18.768716
sh.600019,2025-12-04,2025-12-11,0.1309814453125,2025-12-04 20:03:18.768716
sh.600023,2025-12-03,2025-12-10,0.07965087890625,2025-12-04 20:03:18.768716
sh.600023,2025-12-03,2025-12-10,0.07965087890625,2025-12-04 20:03:18.768716
sh.600023,2025-12-03,2025-12-10,0.07977294921875,2025-12-04 20:03:18.768716
sh.600023,2025-12-04,2025-12-11,0.1455078125,2025-12-04 20:03:18.768716
sh.600025,2025-12-03,2025-12-10,0.11859130859375,2025-12-04 20:03:18.768716
