code,time,target,score,predcit_time
sh.600000,2025-09-01,2025-09-08,0.1387939453125,2025-09-01 20:03:09.943905
sh.600009,2025-09-01,2025-09-08,0.09637451171875,2025-09-01 20:03:09.943905
sh.600010,2025-09-01,2025-09-08,0.1971435546875,2025-09-01 20:03:09.943905
sh.600011,2025-09-01,2025-09-08,0.17578125,2025-09-01 20:03:09.943905
sh.600015,2025-09-01,2025-09-08,0.1309814453125,2025-09-01 20:03:09.943905
sh.600016,2025-09-01,2025-09-08,0.137451171875,2025-09-01 20:03:09.943905
sh.600018,2025-09-01,2025-09-08,0.12451171875,2025-09-01 20:03:09.943905
sh.600019,2025-09-01,2025-09-08,0.1190185546875,2025-09-01 20:03:09.943905
sh.600023,2025-09-01,2025-09-08,0.10015869140625,2025-09-01 20:03:09.943905
sh.600025,2025-09-01,2025-09-08,0.1236572265625,2025-09-01 20:03:09.943905
sh.600026,2025-09-01,2025-09-08,0.097412109375,2025-09-01 20:03:09.943905
sh.600027,2025-09-01,2025-09-08,0.0872802734375,2025-09-01 20:03:09.943905
sh.600028,2025-09-01,2025-09-08,0.128173828125,2025-09-01 20:03:09.943905
sh.600029,2025-09-01,2025-09-08,0.135986328125,2025-09-01 20:03:09.943905
sh.600030,2025-09-01,2025-09-08,0.203125,2025-09-01 20:03:09.943905
sh.600031,2025-09-01,2025-09-08,0.15478515625,2025-09-01 20:03:09.943905
sh.600036,2025-09-01,2025-09-08,0.1353759765625,2025-09-01 20:03:09.943905
sh.600039,2025-09-01,2025-09-08,0.07183837890625,2025-09-01 20:03:09.943905
sh.600048,2025-09-01,2025-09-08,0.10858154296875,2025-09-01 20:03:09.943905
sh.600050,2025-09-01,2025-09-08,0.152099609375,2025-09-01 20:03:09.943905
sh.600061,2025-09-01,2025-09-08,0.164794921875,2025-09-01 20:03:09.943905
sh.600066,2025-09-01,2025-09-08,0.149658203125,2025-09-01 20:03:09.943905
sh.600085,2025-09-01,2025-09-08,0.07318115234375,2025-09-01 20:03:09.943905
sh.600089,2025-09-01,2025-09-08,0.279052734375,2025-09-01 20:03:09.943905
sh.600104,2025-09-01,2025-09-08,0.13134765625,2025-09-01 20:03:09.943905
sh.600111,2025-09-01,2025-09-08,0.249755859375,2025-09-01 20:03:09.943905
sh.600115,2025-09-01,2025-09-08,0.1251220703125,2025-09-01 20:03:09.943905
sh.600150,2025-09-01,2025-09-08,0.22607421875,2025-09-01 20:03:09.943905
sh.600160,2025-09-01,2025-09-08,0.2548828125,2025-09-01 20:03:09.943905
