score,time,target,code,predcit_time
-4.039062,2025-12-02,2025-12-09,sh.600000,2025-12-02 20:12:50.630901
-3.8816564,2025-12-02,2025-12-09,sh.600009,2025-12-02 20:12:50.630901
-3.9939158,2025-12-02,2025-12-09,sh.600010,2025-12-02 20:12:50.630901
-4.131645,2025-12-02,2025-12-09,sh.600011,2025-12-02 20:12:50.630901
-3.8899677,2025-12-02,2025-12-09,sh.600015,2025-12-02 20:12:50.630901
-4.0209975,2025-12-02,2025-12-09,sh.600016,2025-12-02 20:12:50.630901
-3.990352,2025-12-02,2025-12-09,sh.600018,2025-12-02 20:12:50.630901
-3.9873912,2025-12-02,2025-12-09,sh.600019,2025-12-02 20:12:50.630901
-3.9319298,2025-12-02,2025-12-09,sh.600023,2025-12-02 20:12:50.630901
-3.984062,2025-12-02,2025-12-09,sh.600025,2025-12-02 20:12:50.630901
-4.1213927,2025-12-02,2025-12-09,sh.600026,2025-12-02 20:12:50.630901
-4.1298423,2025-12-02,2025-12-09,sh.600027,2025-12-02 20:12:50.630901
-3.867338,2025-12-02,2025-12-09,sh.600028,2025-12-02 20:12:50.630901
-3.9410126,2025-12-02,2025-12-09,sh.600029,2025-12-02 20:12:50.630901
-3.9111564,2025-12-02,2025-12-09,sh.600030,2025-12-02 20:12:50.630901
-4.0953407,2025-12-02,2025-12-09,sh.600031,2025-12-02 20:12:50.630901
-4.060339,2025-12-02,2025-12-09,sh.600036,2025-12-02 20:12:50.630901
-3.9600494,2025-12-02,2025-12-09,sh.600039,2025-12-02 20:12:50.630901
-3.828119,2025-12-02,2025-12-09,sh.600048,2025-12-02 20:12:50.630901
-3.907376,2025-12-02,2025-12-09,sh.600050,2025-12-02 20:12:50.630901
-4.0369496,2025-12-02,2025-12-09,sh.600061,2025-12-02 20:12:50.630901
-4.065154,2025-12-02,2025-12-09,sh.600066,2025-12-02 20:12:50.630901
-4.004175,2025-12-02,2025-12-09,sh.600085,2025-12-02 20:12:50.630901
-4.3250995,2025-12-02,2025-12-09,sh.600089,2025-12-02 20:12:50.630901
-4.0221972,2025-12-02,2025-12-09,sh.600104,2025-12-02 20:12:50.630901
-3.9053876,2025-12-02,2025-12-09,sh.600111,2025-12-02 20:12:50.630901
-3.9677727,2025-12-02,2025-12-09,sh.600115,2025-12-02 20:12:50.630901
-3.8248284,2025-12-02,2025-12-09,sh.600150,2025-12-02 20:12:50.630901
-4.0747075,2025-12-02,2025-12-09,sh.600160,2025-12-02 20:12:50.630901
-3.894488,2025-12-02,2025-12-09,sh.600161,2025-12-02 20:12:50.630901
-3.989782,2025-12-02,2025-12-09,sh.600176,2025-12-02 20:12:50.630901
-4.18842,2025-12-02,2025-12-09,sh.600183,2025-12-02 20:12:50.630901
-4.205255,2025-12-02,2025-12-09,sh.600188,2025-12-02 20:12:50.630901
-4.280831,2025-12-02,2025-12-09,sh.600196,2025-12-02 20:12:50.630901
-4.1711173,2025-12-02,2025-12-09,sh.600219,2025-12-02 20:12:50.630901
-3.956473,2025-12-02,2025-12-09,sh.600233,2025-12-02 20:12:50.630901
-4.5072103,2025-12-02,2025-12-09,sh.600276,2025-12-02 20:12:50.630901
-4.4827127,2025-12-02,2025-12-09,sh.600309,2025-12-02 20:12:50.630901
-4.0222993,2025-12-02,2025-12-09,sh.600332,2025-12-02 20:12:50.630901
-4.3817353,2025-12-02,2025-12-09,sh.600346,2025-12-02 20:12:50.630901
