score,time,target,code,predcit_time
-4.0334077,2025-11-24,2025-12-01,sh.600000,2025-11-25 20:12:46.705472
-4.07165,2025-11-25,2025-12-02,sh.600000,2025-11-25 20:12:46.705472
-3.7748163,2025-11-24,2025-12-01,sh.600009,2025-11-25 20:12:46.705472
-3.7674425,2025-11-25,2025-12-02,sh.600009,2025-11-25 20:12:46.705472
-4.100532,2025-11-24,2025-12-01,sh.600010,2025-11-25 20:12:46.705472
-4.083424,2025-11-25,2025-12-02,sh.600010,2025-11-25 20:12:46.705472
-4.1920433,2025-11-24,2025-12-01,sh.600011,2025-11-25 20:12:46.705472
-4.2255726,2025-11-25,2025-12-02,sh.600011,2025-11-25 20:12:46.705472
-3.929189,2025-11-24,2025-12-01,sh.600015,2025-11-25 20:12:46.705472
-3.9042146,2025-11-25,2025-12-02,sh.600015,2025-11-25 20:12:46.705472
-3.904761,2025-11-24,2025-12-01,sh.600016,2025-11-25 20:12:46.705472
-3.9618266,2025-11-25,2025-12-02,sh.600016,2025-11-25 20:12:46.705472
-3.9034965,2025-11-24,2025-12-01,sh.600018,2025-11-25 20:12:46.705472
-3.8764093,2025-11-25,2025-12-02,sh.600018,2025-11-25 20:12:46.705472
-4.0454955,2025-11-24,2025-12-01,sh.600019,2025-11-25 20:12:46.705472
-4.0213313,2025-11-25,2025-12-02,sh.600019,2025-11-25 20:12:46.705472
-3.9700902,2025-11-24,2025-12-01,sh.600023,2025-11-25 20:12:46.705472
-3.949231,2025-11-25,2025-12-02,sh.600023,2025-11-25 20:12:46.705472
-4.0203624,2025-11-24,2025-12-01,sh.600025,2025-11-25 20:12:46.705472
-3.9914138,2025-11-25,2025-12-02,sh.600025,2025-11-25 20:12:46.705472
-3.9985693,2025-11-24,2025-12-01,sh.600026,2025-11-25 20:12:46.705472
-3.9862077,2025-11-25,2025-12-02,sh.600026,2025-11-25 20:12:46.705472
-4.1966066,2025-11-24,2025-12-01,sh.600027,2025-11-25 20:12:46.705472
-4.164834,2025-11-25,2025-12-02,sh.600027,2025-11-25 20:12:46.705472
-3.9919121,2025-11-24,2025-12-01,sh.600028,2025-11-25 20:12:46.705472
-3.9413702,2025-11-25,2025-12-02,sh.600028,2025-11-25 20:12:46.705472
-3.9885008,2025-11-24,2025-12-01,sh.600029,2025-11-25 20:12:46.705472
-4.0149183,2025-11-25,2025-12-02,sh.600029,2025-11-25 20:12:46.705472
-3.9388568,2025-11-24,2025-12-01,sh.600030,2025-11-25 20:12:46.705472
-3.9128015,2025-11-25,2025-12-02,sh.600030,2025-11-25 20:12:46.705472
-4.176435,2025-11-24,2025-12-01,sh.600031,2025-11-25 20:12:46.705472
-4.048929,2025-11-25,2025-12-02,sh.600031,2025-11-25 20:12:46.705472
-3.9995887,2025-11-24,2025-12-01,sh.600036,2025-11-25 20:12:46.705472
-4.044264,2025-11-25,2025-12-02,sh.600036,2025-11-25 20:12:46.705472
