score,time,target,code,predcit_time
-3.7674067,2025-07-23,2025-07-30,sh.600000,2025-07-23 20:13:13.258717
-3.716325,2025-07-23,2025-07-30,sh.600009,2025-07-23 20:13:13.258717
-4.1488743,2025-07-23,2025-07-30,sh.600010,2025-07-23 20:13:13.258717
-3.9589384,2025-07-23,2025-07-30,sh.600011,2025-07-23 20:13:13.258717
-3.9113464,2025-07-23,2025-07-30,sh.600015,2025-07-23 20:13:13.258717
-3.690035,2025-07-23,2025-07-30,sh.600016,2025-07-23 20:13:13.258717
-3.7991354,2025-07-23,2025-07-30,sh.600018,2025-07-23 20:13:13.258717
-4.1993337,2025-07-23,2025-07-30,sh.600019,2025-07-23 20:13:13.258717
-4.209101,2025-07-23,2025-07-30,sh.600023,2025-07-23 20:13:13.258717
-4.1208644,2025-07-23,2025-07-30,sh.600025,2025-07-23 20:13:13.258717
-4.0549154,2025-07-23,2025-07-30,sh.600026,2025-07-23 20:13:13.258717
-3.915479,2025-07-23,2025-07-30,sh.600027,2025-07-23 20:13:13.258717
-3.9612129,2025-07-23,2025-07-30,sh.600028,2025-07-23 20:13:13.258717
-3.970003,2025-07-23,2025-07-30,sh.600029,2025-07-23 20:13:13.258717
-4.151624,2025-07-23,2025-07-30,sh.600030,2025-07-23 20:13:13.258717
-3.765383,2025-07-23,2025-07-30,sh.600031,2025-07-23 20:13:13.258717
-3.7330031,2025-07-23,2025-07-30,sh.600036,2025-07-23 20:13:13.258717
-3.9123027,2025-07-23,2025-07-30,sh.600039,2025-07-23 20:13:13.258717
-3.747001,2025-07-23,2025-07-30,sh.600048,2025-07-23 20:13:13.258717
-3.9695036,2025-07-23,2025-07-30,sh.600050,2025-07-23 20:13:13.258717
-4.025218,2025-07-23,2025-07-30,sh.600061,2025-07-23 20:13:13.258717
-4.0657377,2025-07-23,2025-07-30,sh.600066,2025-07-23 20:13:13.258717
-4.128017,2025-07-23,2025-07-30,sh.600085,2025-07-23 20:13:13.258717
-4.062162,2025-07-23,2025-07-30,sh.600089,2025-07-23 20:13:13.258717
-3.7179768,2025-07-23,2025-07-30,sh.600104,2025-07-23 20:13:13.258717
-4.142241,2025-07-23,2025-07-30,sh.600111,2025-07-23 20:13:13.258717
-3.9561546,2025-07-23,2025-07-30,sh.600115,2025-07-23 20:13:13.258717
-3.9771473,2025-07-23,2025-07-30,sh.600150,2025-07-23 20:13:13.258717
-4.030099,2025-07-23,2025-07-30,sh.600160,2025-07-23 20:13:13.258717
-3.9579103,2025-07-23,2025-07-30,sh.600161,2025-07-23 20:13:13.258717
-3.985482,2025-07-23,2025-07-30,sh.600176,2025-07-23 20:13:13.258717
-4.1088357,2025-07-23,2025-07-30,sh.600183,2025-07-23 20:13:13.258717
-4.0127063,2025-07-23,2025-07-30,sh.600188,2025-07-23 20:13:13.258717
-3.9941661,2025-07-23,2025-07-30,sh.600196,2025-07-23 20:13:13.258717
-4.2760396,2025-07-23,2025-07-30,sh.600219,2025-07-23 20:13:13.258717
-3.7439864,2025-07-23,2025-07-30,sh.600233,2025-07-23 20:13:13.258717
-4.1741824,2025-07-23,2025-07-30,sh.600276,2025-07-23 20:13:13.258717
-3.7220697,2025-07-23,2025-07-30,sh.600309,2025-07-23 20:13:13.258717
-3.9838564,2025-07-23,2025-07-30,sh.600332,2025-07-23 20:13:13.258717
-4.010422,2025-07-23,2025-07-30,sh.600346,2025-07-23 20:13:13.258717
-3.9378583,2025-07-23,2025-07-30,sh.600362,2025-07-23 20:13:13.258717
-4.1307683,2025-07-23,2025-07-30,sh.600372,2025-07-23 20:13:13.258717
-4.085559,2025-07-23,2025-07-30,sh.600377,2025-07-23 20:13:13.258717
-3.9367883,2025-07-23,2025-07-30,sh.600406,2025-07-23 20:13:13.258717
-4.571331,2025-07-23,2025-07-30,sh.600415,2025-07-23 20:13:13.258717
-4.198294,2025-07-23,2025-07-30,sh.600426,2025-07-23 20:13:13.258717
-3.771322,2025-07-23,2025-07-30,sh.600436,2025-07-23 20:13:13.258717
-4.0426464,2025-07-23,2025-07-30,sh.600438,2025-07-23 20:13:13.258717
-3.715021,2025-07-23,2025-07-30,sh.600460,2025-07-23 20:13:13.258717
-4.0697775,2025-07-23,2025-07-30,sh.600482,2025-07-23 20:13:13.258717
-3.9608457,2025-07-23,2025-07-30,sh.600489,2025-07-23 20:13:13.258717
-3.9275682,2025-07-23,2025-07-30,sh.600515,2025-07-23 20:13:13.258717
-4.061559,2025-07-23,2025-07-30,sh.600519,2025-07-23 20:13:13.258717
-3.9113586,2025-07-23,2025-07-30,sh.600547,2025-07-23 20:13:13.258717
-4.2042756,2025-07-23,2025-07-30,sh.600570,2025-07-23 20:13:13.258717
-4.05843,2025-07-23,2025-07-30,sh.600584,2025-07-23 20:13:13.258717
-3.6119707,2025-07-23,2025-07-30,sh.600585,2025-07-23 20:13:13.258717
-3.6042535,2025-07-23,2025-07-30,sh.600588,2025-07-23 20:13:13.258717
-3.8456347,2025-07-23,2025-07-30,sh.600600,2025-07-23 20:13:13.258717
-4.0027604,2025-07-23,2025-07-30,sh.600660,2025-07-23 20:13:13.258717
-3.9270756,2025-07-23,2025-07-30,sh.600674,2025-07-23 20:13:13.258717
-3.9510753,2025-07-23,2025-07-30,sh.600690,2025-07-23 20:13:13.258717
-3.4608514,2025-07-23,2025-07-30,sh.600741,2025-07-23 20:13:13.258717
-4.0426974,2025-07-23,2025-07-30,sh.600760,2025-07-23 20:13:13.258717
-3.8332946,2025-07-23,2025-07-30,sh.600795,2025-07-23 20:13:13.258717
-3.987428,2025-07-23,2025-07-30,sh.600803,2025-07-23 20:13:13.258717
-3.9231803,2025-07-23,2025-07-30,sh.600809,2025-07-23 20:13:13.258717
-3.984968,2025-07-23,2025-07-30,sh.600845,2025-07-23 20:13:13.258717
-4.1156173,2025-07-23,2025-07-30,sh.600875,2025-07-23 20:13:13.258717
-3.9823244,2025-07-23,2025-07-30,sh.600886,2025-07-23 20:13:13.258717
-3.0572636,2025-07-23,2025-07-30,sh.600887,2025-07-23 20:13:13.258717
-4.16212,2025-07-23,2025-07-30,sh.600893,2025-07-23 20:13:13.258717
-3.9305212,2025-07-23,2025-07-30,sh.600900,2025-07-23 20:13:13.258717
-4.000305,2025-07-23,2025-07-30,sh.600919,2025-07-23 20:13:13.258717
-3.9266908,2025-07-23,2025-07-30,sh.600926,2025-07-23 20:13:13.258717
-4.109407,2025-07-23,2025-07-30,sh.600958,2025-07-23 20:13:13.258717
-4.1905575,2025-07-23,2025-07-30,sh.600989,2025-07-23 20:13:13.258717
-4.015326,2025-07-23,2025-07-30,sh.600999,2025-07-23 20:13:13.258717
-3.9357302,2025-07-23,2025-07-30,sh.601006,2025-07-23 20:13:13.258717
-3.959685,2025-07-23,2025-07-30,sh.601009,2025-07-23 20:13:13.258717
-3.9013803,2025-07-23,2025-07-30,sh.601012,2025-07-23 20:13:13.258717
-3.6078384,2025-07-23,2025-07-30,sh.601021,2025-07-23 20:13:13.258717
-3.8749871,2025-07-23,2025-07-30,sh.601058,2025-07-23 20:13:13.258717
-3.9829996,2025-07-23,2025-07-30,sh.601066,2025-07-23 20:13:13.258717
-4.021425,2025-07-23,2025-07-30,sh.601088,2025-07-23 20:13:13.258717
-4.161933,2025-07-23,2025-07-30,sh.601100,2025-07-23 20:13:13.258717
-3.9746644,2025-07-23,2025-07-30,sh.601111,2025-07-23 20:13:13.258717
-4.119473,2025-07-23,2025-07-30,sh.601117,2025-07-23 20:13:13.258717
-4.5177126,2025-07-23,2025-07-30,sh.601127,2025-07-23 20:13:13.258717
-4.069875,2025-07-23,2025-07-30,sh.601138,2025-07-23 20:13:13.258717
-3.8272688,2025-07-23,2025-07-30,sh.601166,2025-07-23 20:13:13.258717
-3.9467094,2025-07-23,2025-07-30,sh.601169,2025-07-23 20:13:13.258717
-4.052112,2025-07-23,2025-07-30,sh.601186,2025-07-23 20:13:13.258717
-3.9789526,2025-07-23,2025-07-30,sh.601211,2025-07-23 20:13:13.258717
-4.174569,2025-07-23,2025-07-30,sh.601225,2025-07-23 20:13:13.258717
-3.8711498,2025-07-23,2025-07-30,sh.601229,2025-07-23 20:13:13.258717
-3.9239843,2025-07-23,2025-07-30,sh.601236,2025-07-23 20:13:13.258717
-4.155401,2025-07-23,2025-07-30,sh.601238,2025-07-23 20:13:13.258717
-4.016862,2025-07-23,2025-07-30,sh.601288,2025-07-23 20:13:13.258717
-3.967481,2025-07-23,2025-07-30,sh.601318,2025-07-23 20:13:13.258717
-3.9439905,2025-07-23,2025-07-30,sh.601319,2025-07-23 20:13:13.258717
-4.0083013,2025-07-23,2025-07-30,sh.601328,2025-07-23 20:13:13.258717
-3.988632,2025-07-23,2025-07-30,sh.601336,2025-07-23 20:13:13.258717
-3.980189,2025-07-23,2025-07-30,sh.601360,2025-07-23 20:13:13.258717
-4.065163,2025-07-23,2025-07-30,sh.601377,2025-07-23 20:13:13.258717
-4.12517,2025-07-23,2025-07-30,sh.601390,2025-07-23 20:13:13.258717
-3.9900234,2025-07-23,2025-07-30,sh.601398,2025-07-23 20:13:13.258717
-4.126408,2025-07-23,2025-07-30,sh.601600,2025-07-23 20:13:13.258717
-3.860728,2025-07-23,2025-07-30,sh.601601,2025-07-23 20:13:13.258717
-4.3577137,2025-07-23,2025-07-30,sh.601607,2025-07-23 20:13:13.258717
