score,time,target,code,predcit_time
-3.818539,2025-11-28,2025-12-05,sh.600000,2025-11-28 20:12:51.835050
-4.002129,2025-11-28,2025-12-05,sh.600009,2025-11-28 20:12:51.835050
-4.0067973,2025-11-28,2025-12-05,sh.600010,2025-11-28 20:12:51.835050
-4.184755,2025-11-28,2025-12-05,sh.600011,2025-11-28 20:12:51.835050
-3.9242394,2025-11-28,2025-12-05,sh.600015,2025-11-28 20:12:51.835050
-3.996477,2025-11-28,2025-12-05,sh.600016,2025-11-28 20:12:51.835050
-3.895802,2025-11-28,2025-12-05,sh.600018,2025-11-28 20:12:51.835050
-4.028012,2025-11-28,2025-12-05,sh.600019,2025-11-28 20:12:51.835050
-3.9599226,2025-11-28,2025-12-05,sh.600023,2025-11-28 20:12:51.835050
-4.015848,2025-11-28,2025-12-05,sh.600025,2025-11-28 20:12:51.835050
-4.0276494,2025-11-28,2025-12-05,sh.600026,2025-11-28 20:12:51.835050
-4.1647286,2025-11-28,2025-12-05,sh.600027,2025-11-28 20:12:51.835050
-3.904618,2025-11-28,2025-12-05,sh.600028,2025-11-28 20:12:51.835050
-3.941683,2025-11-28,2025-12-05,sh.600029,2025-11-28 20:12:51.835050
-3.9387562,2025-11-28,2025-12-05,sh.600030,2025-11-28 20:12:51.835050
-4.0732965,2025-11-28,2025-12-05,sh.600031,2025-11-28 20:12:51.835050
-4.0378194,2025-11-28,2025-12-05,sh.600036,2025-11-28 20:12:51.835050
-4.1019917,2025-11-28,2025-12-05,sh.600039,2025-11-28 20:12:51.835050
-3.950485,2025-11-28,2025-12-05,sh.600048,2025-11-28 20:12:51.835050
-3.915447,2025-11-28,2025-12-05,sh.600050,2025-11-28 20:12:51.835050
-3.9846284,2025-11-28,2025-12-05,sh.600061,2025-11-28 20:12:51.835050
-3.8412926,2025-11-28,2025-12-05,sh.600066,2025-11-28 20:12:51.835050
-3.7949798,2025-11-28,2025-12-05,sh.600085,2025-11-28 20:12:51.835050
-4.399919,2025-11-28,2025-12-05,sh.600089,2025-11-28 20:12:51.835050
-4.1489863,2025-11-28,2025-12-05,sh.600104,2025-11-28 20:12:51.835050
-4.037205,2025-11-28,2025-12-05,sh.600111,2025-11-28 20:12:51.835050
-3.9632404,2025-11-28,2025-12-05,sh.600115,2025-11-28 20:12:51.835050
-3.8570623,2025-11-28,2025-12-05,sh.600150,2025-11-28 20:12:51.835050
-4.040105,2025-11-28,2025-12-05,sh.600160,2025-11-28 20:12:51.835050
-4.1362166,2025-11-28,2025-12-05,sh.600161,2025-11-28 20:12:51.835050
-3.9708107,2025-11-28,2025-12-05,sh.600176,2025-11-28 20:12:51.835050
-4.2206826,2025-11-28,2025-12-05,sh.600183,2025-11-28 20:12:51.835050
-4.1484733,2025-11-28,2025-12-05,sh.600188,2025-11-28 20:12:51.835050
-3.8387825,2025-11-28,2025-12-05,sh.600196,2025-11-28 20:12:51.835050
-4.160311,2025-11-28,2025-12-05,sh.600219,2025-11-28 20:12:51.835050
-3.933602,2025-11-28,2025-12-05,sh.600233,2025-11-28 20:12:51.835050
-4.4603047,2025-11-28,2025-12-05,sh.600276,2025-11-28 20:12:51.835050
-4.2265077,2025-11-28,2025-12-05,sh.600309,2025-11-28 20:12:51.835050
-4.0317707,2025-11-28,2025-12-05,sh.600332,2025-11-28 20:12:51.835050
-4.5016084,2025-11-28,2025-12-05,sh.600346,2025-11-28 20:12:51.835050
-4.0051026,2025-11-28,2025-12-05,sh.600362,2025-11-28 20:12:51.835050
-4.093321,2025-11-28,2025-12-05,sh.600372,2025-11-28 20:12:51.835050
-3.9344327,2025-11-28,2025-12-05,sh.600377,2025-11-28 20:12:51.835050
-4.17523,2025-11-28,2025-12-05,sh.600406,2025-11-28 20:12:51.835050
-4.0889254,2025-11-28,2025-12-05,sh.600415,2025-11-28 20:12:51.835050
-3.9506843,2025-11-28,2025-12-05,sh.600426,2025-11-28 20:12:51.835050
-3.9375932,2025-11-28,2025-12-05,sh.600436,2025-11-28 20:12:51.835050
-4.0771737,2025-11-28,2025-12-05,sh.600438,2025-11-28 20:12:51.835050
-3.9318612,2025-11-28,2025-12-05,sh.600460,2025-11-28 20:12:51.835050
-3.988352,2025-11-28,2025-12-05,sh.600482,2025-11-28 20:12:51.835050
-3.7280843,2025-11-28,2025-12-05,sh.600489,2025-11-28 20:12:51.835050
-3.9745963,2025-11-28,2025-12-05,sh.600515,2025-11-28 20:12:51.835050
-4.0179358,2025-11-28,2025-12-05,sh.600519,2025-11-28 20:12:51.835050
-3.9348018,2025-11-28,2025-12-05,sh.600547,2025-11-28 20:12:51.835050
