score,time,target,code,predcit_time
-4.040775,2025-12-01,2025-12-08,sh.600000,2025-12-01 20:13:15.469229
-3.9770849,2025-12-01,2025-12-08,sh.600009,2025-12-01 20:13:15.469229
-3.9825404,2025-12-01,2025-12-08,sh.600010,2025-12-01 20:13:15.469229
-4.128819,2025-12-01,2025-12-08,sh.600011,2025-12-01 20:13:15.469229
-3.8840163,2025-12-01,2025-12-08,sh.600015,2025-12-01 20:13:15.469229
-4.0307,2025-12-01,2025-12-08,sh.600016,2025-12-01 20:13:15.469229
-3.9937623,2025-12-01,2025-12-08,sh.600018,2025-12-01 20:13:15.469229
-4.0304027,2025-12-01,2025-12-08,sh.600019,2025-12-01 20:13:15.469229
-3.9486954,2025-12-01,2025-12-08,sh.600023,2025-12-01 20:13:15.469229
-3.9886215,2025-12-01,2025-12-08,sh.600025,2025-12-01 20:13:15.469229
-4.02289,2025-12-01,2025-12-08,sh.600026,2025-12-01 20:13:15.469229
-4.142321,2025-12-01,2025-12-08,sh.600027,2025-12-01 20:13:15.469229
-3.8638318,2025-12-01,2025-12-08,sh.600028,2025-12-01 20:13:15.469229
-3.940482,2025-12-01,2025-12-08,sh.600029,2025-12-01 20:13:15.469229
-3.970215,2025-12-01,2025-12-08,sh.600030,2025-12-01 20:13:15.469229
-4.0430703,2025-12-01,2025-12-08,sh.600031,2025-12-01 20:13:15.469229
-4.0861707,2025-12-01,2025-12-08,sh.600036,2025-12-01 20:13:15.469229
-4.3745856,2025-12-01,2025-12-08,sh.600039,2025-12-01 20:13:15.469229
-3.840824,2025-12-01,2025-12-08,sh.600048,2025-12-01 20:13:15.469229
-3.9062607,2025-12-01,2025-12-08,sh.600050,2025-12-01 20:13:15.469229
-4.010496,2025-12-01,2025-12-08,sh.600061,2025-12-01 20:13:15.469229
-4.044055,2025-12-01,2025-12-08,sh.600066,2025-12-01 20:13:15.469229
-3.9061952,2025-12-01,2025-12-08,sh.600085,2025-12-01 20:13:15.469229
-4.2569914,2025-12-01,2025-12-08,sh.600089,2025-12-01 20:13:15.469229
-4.065701,2025-12-01,2025-12-08,sh.600104,2025-12-01 20:13:15.469229
-3.9931448,2025-12-01,2025-12-08,sh.600111,2025-12-01 20:13:15.469229
-3.9683812,2025-12-01,2025-12-08,sh.600115,2025-12-01 20:13:15.469229
-3.868892,2025-12-01,2025-12-08,sh.600150,2025-12-01 20:13:15.469229
-4.05722,2025-12-01,2025-12-08,sh.600160,2025-12-01 20:13:15.469229
-4.0857344,2025-12-01,2025-12-08,sh.600161,2025-12-01 20:13:15.469229
-3.9941247,2025-12-01,2025-12-08,sh.600176,2025-12-01 20:13:15.469229
-4.9406247,2025-12-01,2025-12-08,sh.600183,2025-12-01 20:13:15.469229
-4.2133884,2025-12-01,2025-12-08,sh.600188,2025-12-01 20:13:15.469229
-4.177852,2025-12-01,2025-12-08,sh.600196,2025-12-01 20:13:15.469229
-4.079135,2025-12-01,2025-12-08,sh.600219,2025-12-01 20:13:15.469229
-3.9997847,2025-12-01,2025-12-08,sh.600233,2025-12-01 20:13:15.469229
-4.558958,2025-12-01,2025-12-08,sh.600276,2025-12-01 20:13:15.469229
-4.367293,2025-12-01,2025-12-08,sh.600309,2025-12-01 20:13:15.469229
-3.9998672,2025-12-01,2025-12-08,sh.600332,2025-12-01 20:13:15.469229
-4.6140776,2025-12-01,2025-12-08,sh.600346,2025-12-01 20:13:15.469229
