score,time,target,code,predcit_time
-3.762676,2025-07-30,2025-08-06,sh.600000,2025-07-31 18:28:43.148701
-3.7230234,2025-07-31,2025-08-07,sh.600000,2025-07-31 18:28:43.148701
-3.4580777,2025-07-30,2025-08-06,sh.600009,2025-07-31 18:28:43.148701
-3.406612,2025-07-31,2025-08-07,sh.600009,2025-07-31 18:28:43.148701
-4.4959397,2025-07-30,2025-08-06,sh.600010,2025-07-31 18:28:43.148701
-4.384114,2025-07-31,2025-08-07,sh.600010,2025-07-31 18:28:43.148701
-3.9809468,2025-07-30,2025-08-06,sh.600011,2025-07-31 18:28:43.148701
-3.9786794,2025-07-31,2025-08-07,sh.600011,2025-07-31 18:28:43.148701
-3.8967483,2025-07-30,2025-08-06,sh.600015,2025-07-31 18:28:43.148701
-3.9448764,2025-07-31,2025-08-07,sh.600015,2025-07-31 18:28:43.148701
-3.5965621,2025-07-30,2025-08-06,sh.600016,2025-07-31 18:28:43.148701
-3.6391218,2025-07-31,2025-08-07,sh.600016,2025-07-31 18:28:43.148701
-3.9574888,2025-07-30,2025-08-06,sh.600018,2025-07-31 18:28:43.148701
-3.8399527,2025-07-31,2025-08-07,sh.600018,2025-07-31 18:28:43.148701
-3.9901454,2025-07-30,2025-08-06,sh.600019,2025-07-31 18:28:43.148701
-4.369721,2025-07-31,2025-08-07,sh.600019,2025-07-31 18:28:43.148701
-4.1013393,2025-07-30,2025-08-06,sh.600023,2025-07-31 18:28:43.148701
-4.123481,2025-07-31,2025-08-07,sh.600023,2025-07-31 18:28:43.148701
-4.056885,2025-07-30,2025-08-06,sh.600025,2025-07-31 18:28:43.148701
-4.120078,2025-07-31,2025-08-07,sh.600025,2025-07-31 18:28:43.148701
-4.089142,2025-07-30,2025-08-06,sh.600026,2025-07-31 18:28:43.148701
-4.1115527,2025-07-31,2025-08-07,sh.600026,2025-07-31 18:28:43.148701
-3.9527028,2025-07-30,2025-08-06,sh.600027,2025-07-31 18:28:43.148701
-4.0268245,2025-07-31,2025-08-07,sh.600027,2025-07-31 18:28:43.148701
-3.9763796,2025-07-30,2025-08-06,sh.600028,2025-07-31 18:28:43.148701
-4.1426907,2025-07-31,2025-08-07,sh.600028,2025-07-31 18:28:43.148701
-3.9650357,2025-07-30,2025-08-06,sh.600029,2025-07-31 18:28:43.148701
-3.9882982,2025-07-31,2025-08-07,sh.600029,2025-07-31 18:28:43.148701
-4.070782,2025-07-30,2025-08-06,sh.600030,2025-07-31 18:28:43.148701
-4.023549,2025-07-31,2025-08-07,sh.600030,2025-07-31 18:28:43.148701
-3.9327047,2025-07-30,2025-08-06,sh.600031,2025-07-31 18:28:43.148701
-4.0081916,2025-07-31,2025-08-07,sh.600031,2025-07-31 18:28:43.148701
-3.6527748,2025-07-30,2025-08-06,sh.600036,2025-07-31 18:28:43.148701
-3.6863673,2025-07-31,2025-08-07,sh.600036,2025-07-31 18:28:43.148701
-3.8607476,2025-07-30,2025-08-06,sh.600039,2025-07-31 18:28:43.148701
-3.8939917,2025-07-31,2025-08-07,sh.600039,2025-07-31 18:28:43.148701
-3.7526965,2025-07-30,2025-08-06,sh.600048,2025-07-31 18:28:43.148701
-3.8894827,2025-07-31,2025-08-07,sh.600048,2025-07-31 18:28:43.148701
-3.9687684,2025-07-30,2025-08-06,sh.600050,2025-07-31 18:28:43.148701
-3.9697301,2025-07-31,2025-08-07,sh.600050,2025-07-31 18:28:43.148701
-4.070486,2025-07-30,2025-08-06,sh.600061,2025-07-31 18:28:43.148701
-4.021877,2025-07-31,2025-08-07,sh.600061,2025-07-31 18:28:43.148701
-4.0707984,2025-07-30,2025-08-06,sh.600066,2025-07-31 18:28:43.148701
