score,y,profit,time,target,code,predcit_time
-3.7550757,0.035656333,0.035656333,2025-06-13,2025-06-20,sh.600000,2025-06-20 20:13:26.396302
-4.143773,-0.02244389,-0.02244389,2025-06-13,2025-06-20,sh.600009,2025-06-20 20:13:26.396302
-3.9044936,-0.033149183,-0.033149183,2025-06-13,2025-06-20,sh.600010,2025-06-20 20:13:26.396302
-4.035622,0.013698578,0.013698578,2025-06-13,2025-06-20,sh.600011,2025-06-20 20:13:26.396302
-3.9982493,0.030927777,0.030927777,2025-06-13,2025-06-20,sh.600015,2025-06-20 20:13:26.396302
-3.8867016,-0.014674962,-0.014674962,2025-06-13,2025-06-20,sh.600016,2025-06-20 20:13:26.396302
-4.04067,-0.008605897,-0.008605897,2025-06-13,2025-06-20,sh.600018,2025-06-20 20:13:26.396302
-4.040857,-0.03566128,-0.03566128,2025-06-13,2025-06-20,sh.600019,2025-06-20 20:13:26.396302
-3.9291904,-0.014869809,-0.014869809,2025-06-13,2025-06-20,sh.600023,2025-06-20 20:13:26.396302
-4.0043445,0.038191557,0.038191557,2025-06-13,2025-06-20,sh.600025,2025-06-20 20:13:26.396302
-4.100176,0.004651189,0.004651189,2025-06-13,2025-06-20,sh.600026,2025-06-20 20:13:26.396302
-3.8263576,-0.027444184,-0.027444184,2025-06-13,2025-06-20,sh.600027,2025-06-20 20:13:26.396302
-3.973039,0.0067857504,0.0067857504,2025-06-13,2025-06-20,sh.600028,2025-06-20 20:13:26.396302
-4.027589,-0.013769388,-0.013769388,2025-06-13,2025-06-20,sh.600029,2025-06-20 20:13:26.396302
-3.9739192,-0.01482892,-0.01482892,2025-06-13,2025-06-20,sh.600030,2025-06-20 20:13:26.396302
-3.8388162,-0.019673944,-0.019673944,2025-06-13,2025-06-20,sh.600031,2025-06-20 20:13:26.396302
-3.9482505,0.012173533,0.012173533,2025-06-13,2025-06-20,sh.600036,2025-06-20 20:13:26.396302
-4.1017976,0.02393341,0.02393341,2025-06-13,2025-06-20,sh.600039,2025-06-20 20:13:26.396302
-4.1996903,-0.02233255,-0.02233255,2025-06-13,2025-06-20,sh.600048,2025-06-20 20:13:26.396302
-3.9788806,-0.0075901747,-0.0075901747,2025-06-13,2025-06-20,sh.600050,2025-06-20 20:13:26.396302
-3.8506715,-0.016483486,-0.016483486,2025-06-13,2025-06-20,sh.600061,2025-06-20 20:13:26.396302
-3.8412473,-0.02828288,-0.02828288,2025-06-13,2025-06-20,sh.600066,2025-06-20 20:13:26.396302
-4.1855826,-0.02261579,-0.02261579,2025-06-13,2025-06-20,sh.600085,2025-06-20 20:13:26.396302
-3.8002102,-0.01116842,-0.01116842,2025-06-13,2025-06-20,sh.600089,2025-06-20 20:13:26.396302
-3.8259199,-0.03535986,-0.03535986,2025-06-13,2025-06-20,sh.600104,2025-06-20 20:13:26.396302
-3.3370733,-0.03227091,-0.03227091,2025-06-13,2025-06-20,sh.600111,2025-06-20 20:13:26.396302
-3.985562,-0.0025125742,-0.0025125742,2025-06-13,2025-06-20,sh.600115,2025-06-20 20:13:26.396302
-3.7668188,-0.0016249418,-0.0016249418,2025-06-13,2025-06-20,sh.600150,2025-06-20 20:13:26.396302
-4.0025487,0.016169667,0.016169667,2025-06-13,2025-06-20,sh.600160,2025-06-20 20:13:26.396302
-4.0421977,-0.018528044,-0.018528044,2025-06-13,2025-06-20,sh.600161,2025-06-20 20:13:26.396302
-4.0877204,-0.018766701,-0.018766701,2025-06-13,2025-06-20,sh.600176,2025-06-20 20:13:26.396302
-3.830382,0.043571472,0.043571472,2025-06-13,2025-06-20,sh.600183,2025-06-20 20:13:26.396302
-4.0464444,-0.02582103,-0.02582103,2025-06-13,2025-06-20,sh.600188,2025-06-20 20:13:26.396302
-4.1276574,-0.04649365,-0.04649365,2025-06-13,2025-06-20,sh.600196,2025-06-20 20:13:26.396302
-3.8979352,-0.010526359,-0.010526359,2025-06-13,2025-06-20,sh.600219,2025-06-20 20:13:26.396302
-4.116013,0.0005964041,0.0005964041,2025-06-13,2025-06-20,sh.600233,2025-06-20 20:13:26.396302
-3.6581926,-0.03971052,-0.03971052,2025-06-13,2025-06-20,sh.600276,2025-06-20 20:13:26.396302
-3.7623782,-0.018562734,-0.018562734,2025-06-13,2025-06-20,sh.600309,2025-06-20 20:13:26.396302
-4.0890174,-0.020254314,-0.020254314,2025-06-13,2025-06-20,sh.600332,2025-06-20 20:13:26.396302
-4.145792,-0.03707391,-0.03707391,2025-06-13,2025-06-20,sh.600346,2025-06-20 20:13:26.396302
-4.061909,-0.030914068,-0.030914068,2025-06-13,2025-06-20,sh.600362,2025-06-20 20:13:26.396302
-4.0131454,-0.013900936,-0.013900936,2025-06-13,2025-06-20,sh.600372,2025-06-20 20:13:26.396302
-4.0204587,-0.019314706,-0.019314706,2025-06-13,2025-06-20,sh.600377,2025-06-20 20:13:26.396302
-3.9694955,0.010277033,0.010277033,2025-06-13,2025-06-20,sh.600406,2025-06-20 20:13:26.396302
-3.9670732,0.008290172,0.008290172,2025-06-13,2025-06-20,sh.600415,2025-06-20 20:13:26.396302
-3.6283717,-0.026048541,-0.026048541,2025-06-13,2025-06-20,sh.600426,2025-06-20 20:13:26.396302
-3.8365579,-0.0070496798,-0.0070496798,2025-06-13,2025-06-20,sh.600436,2025-06-20 20:13:26.396302
-4.0656705,-0.04456997,-0.04456997,2025-06-13,2025-06-20,sh.600438,2025-06-20 20:13:26.396302
