score,time,target,code,predcit_time
-3.9361198,2025-12-04,2025-12-11,sh.600000,2025-12-04 20:13:15.286455
-3.6505725,2025-12-04,2025-12-11,sh.600009,2025-12-04 20:13:15.286455
-3.9718664,2025-12-04,2025-12-11,sh.600010,2025-12-04 20:13:15.286455
-4.1413608,2025-12-04,2025-12-11,sh.600011,2025-12-04 20:13:15.286455
-3.930299,2025-12-04,2025-12-11,sh.600015,2025-12-04 20:13:15.286455
-3.9774911,2025-12-04,2025-12-11,sh.600016,2025-12-04 20:13:15.286455
-3.951484,2025-12-04,2025-12-11,sh.600018,2025-12-04 20:13:15.286455
-4.041584,2025-12-04,2025-12-11,sh.600019,2025-12-04 20:13:15.286455
-3.9474733,2025-12-04,2025-12-11,sh.600023,2025-12-04 20:13:15.286455
-3.9780767,2025-12-04,2025-12-11,sh.600025,2025-12-04 20:13:15.286455
-3.9972694,2025-12-04,2025-12-11,sh.600026,2025-12-04 20:13:15.286455
-4.1251097,2025-12-04,2025-12-11,sh.600027,2025-12-04 20:13:15.286455
-3.8530948,2025-12-04,2025-12-11,sh.600028,2025-12-04 20:13:15.286455
-3.9799788,2025-12-04,2025-12-11,sh.600029,2025-12-04 20:13:15.286455
-3.9485028,2025-12-04,2025-12-11,sh.600030,2025-12-04 20:13:15.286455
-4.0933123,2025-12-04,2025-12-11,sh.600031,2025-12-04 20:13:15.286455
-3.9342535,2025-12-04,2025-12-11,sh.600036,2025-12-04 20:13:15.286455
-4.0008025,2025-12-04,2025-12-11,sh.600039,2025-12-04 20:13:15.286455
-3.72194,2025-12-04,2025-12-11,sh.600048,2025-12-04 20:13:15.286455
-3.9223902,2025-12-04,2025-12-11,sh.600050,2025-12-04 20:13:15.286455
-4.033108,2025-12-04,2025-12-11,sh.600061,2025-12-04 20:13:15.286455
-4.097182,2025-12-04,2025-12-11,sh.600066,2025-12-04 20:13:15.286455
-4.067634,2025-12-04,2025-12-11,sh.600085,2025-12-04 20:13:15.286455
-4.290016,2025-12-04,2025-12-11,sh.600089,2025-12-04 20:13:15.286455
-3.9937332,2025-12-04,2025-12-11,sh.600104,2025-12-04 20:13:15.286455
-4.073158,2025-12-04,2025-12-11,sh.600111,2025-12-04 20:13:15.286455
-3.9892666,2025-12-04,2025-12-11,sh.600115,2025-12-04 20:13:15.286455
-3.9979684,2025-12-04,2025-12-11,sh.600150,2025-12-04 20:13:15.286455
-4.0416417,2025-12-04,2025-12-11,sh.600160,2025-12-04 20:13:15.286455
-3.8786168,2025-12-04,2025-12-11,sh.600161,2025-12-04 20:13:15.286455
-3.8737905,2025-12-04,2025-12-11,sh.600176,2025-12-04 20:13:15.286455
-4.5418563,2025-12-04,2025-12-11,sh.600183,2025-12-04 20:13:15.286455
-4.2136064,2025-12-04,2025-12-11,sh.600188,2025-12-04 20:13:15.286455
-3.8547251,2025-12-04,2025-12-11,sh.600196,2025-12-04 20:13:15.286455
-4.1499276,2025-12-04,2025-12-11,sh.600219,2025-12-04 20:13:15.286455
-3.9711378,2025-12-04,2025-12-11,sh.600233,2025-12-04 20:13:15.286455
-4.4961233,2025-12-04,2025-12-11,sh.600276,2025-12-04 20:13:15.286455
-4.199119,2025-12-04,2025-12-11,sh.600309,2025-12-04 20:13:15.286455
-4.0104866,2025-12-04,2025-12-11,sh.600332,2025-12-04 20:13:15.286455
-3.8815613,2025-12-04,2025-12-11,sh.600346,2025-12-04 20:13:15.286455
-4.334204,2025-12-04,2025-12-11,sh.600362,2025-12-04 20:13:15.286455
-4.100001,2025-12-04,2025-12-11,sh.600372,2025-12-04 20:13:15.286455
-3.9160326,2025-12-04,2025-12-11,sh.600377,2025-12-04 20:13:15.286455
-4.1409974,2025-12-04,2025-12-11,sh.600406,2025-12-04 20:13:15.286455
-4.209899,2025-12-04,2025-12-11,sh.600415,2025-12-04 20:13:15.286455
-3.7875812,2025-12-04,2025-12-11,sh.600426,2025-12-04 20:13:15.286455
-4.0761695,2025-12-04,2025-12-11,sh.600436,2025-12-04 20:13:15.286455
-4.1091547,2025-12-04,2025-12-11,sh.600438,2025-12-04 20:13:15.286455
-4.080218,2025-12-04,2025-12-11,sh.600460,2025-12-04 20:13:15.286455
-4.033645,2025-12-04,2025-12-11,sh.600482,2025-12-04 20:13:15.286455
-3.6961591,2025-12-04,2025-12-11,sh.600489,2025-12-04 20:13:15.286455
-4.0328097,2025-12-04,2025-12-11,sh.600515,2025-12-04 20:13:15.286455
-4.3231254,2025-12-04,2025-12-11,sh.600519,2025-12-04 20:13:15.286455
-3.6699936,2025-12-04,2025-12-11,sh.600547,2025-12-04 20:13:15.286455
-4.0347733,2025-12-04,2025-12-11,sh.600570,2025-12-04 20:13:15.286455
-4.018354,2025-12-04,2025-12-11,sh.600584,2025-12-04 20:13:15.286455
-3.959441,2025-12-04,2025-12-11,sh.600585,2025-12-04 20:13:15.286455
-3.5181558,2025-12-04,2025-12-11,sh.600588,2025-12-04 20:13:15.286455
-3.9261787,2025-12-04,2025-12-11,sh.600600,2025-12-04 20:13:15.286455
-3.8750317,2025-12-04,2025-12-11,sh.600660,2025-12-04 20:13:15.286455
-3.8276086,2025-12-04,2025-12-11,sh.600674,2025-12-04 20:13:15.286455
-4.012653,2025-12-04,2025-12-11,sh.600690,2025-12-04 20:13:15.286455
-4.040336,2025-12-04,2025-12-11,sh.600741,2025-12-04 20:13:15.286455
-4.0884967,2025-12-04,2025-12-11,sh.600760,2025-12-04 20:13:15.286455
-4.1143737,2025-12-04,2025-12-11,sh.600795,2025-12-04 20:13:15.286455
