score,y,profit,time,target,code,predcit_time
-3.897331,0.0766834,0.0766834,2025-06-20,2025-06-27,sh.601881,2025-06-27 20:13:38.773216
-3.892775,0.0139580965,0.0139580965,2025-06-20,2025-06-27,sh.601888,2025-06-27 20:13:38.773216
-3.9663837,-0.004566252,-0.004566252,2025-06-20,2025-06-27,sh.601898,2025-06-27 20:13:38.773216
-4.071197,0.04291153,0.04291153,2025-06-20,2025-06-27,sh.601899,2025-06-27 20:13:38.773216
-3.990999,0.06533337,0.06533337,2025-06-20,2025-06-27,sh.601901,2025-06-27 20:13:38.773216
-4.1023693,-0.019036531,-0.019036531,2025-06-20,2025-06-27,sh.601919,2025-06-27 20:13:38.773216
-4.0166216,0.026852846,0.026852846,2025-06-20,2025-06-27,sh.601939,2025-06-27 20:13:38.773216
-3.975714,-0.0010649562,-0.0010649562,2025-06-20,2025-06-27,sh.601985,2025-06-27 20:13:38.773216
-4.0044527,0.035778165,0.035778165,2025-06-20,2025-06-27,sh.601988,2025-06-27 20:13:38.773216
-3.926017,0.029545426,0.029545426,2025-06-20,2025-06-27,sh.601989,2025-06-27 20:13:38.773216
-3.9869387,0.003448248,0.003448248,2025-06-20,2025-06-27,sh.601998,2025-06-27 20:13:38.773216
-4.262934,0.06831086,0.06831086,2025-06-20,2025-06-27,sh.603019,2025-06-27 20:13:38.773216
-4.118316,0.0062816143,0.0062816143,2025-06-20,2025-06-27,sh.603259,2025-06-27 20:13:38.773216
-3.5000603,0.014346838,0.014346838,2025-06-20,2025-06-27,sh.603260,2025-06-27 20:13:38.773216
-3.604389,0.011425614,0.011425614,2025-06-20,2025-06-27,sh.603288,2025-06-27 20:13:38.773216
-3.697764,-0.011424184,-0.011424184,2025-06-20,2025-06-27,sh.603369,2025-06-27 20:13:38.773216
-4.1468873,0.019261718,0.019261718,2025-06-20,2025-06-27,sh.603501,2025-06-27 20:13:38.773216
-4.0874195,0.050323367,0.050323367,2025-06-20,2025-06-27,sh.603799,2025-06-27 20:13:38.773216
-3.8894475,0.01930821,0.01930821,2025-06-20,2025-06-27,sh.603806,2025-06-27 20:13:38.773216
-3.7188754,0.014649987,0.014649987,2025-06-20,2025-06-27,sh.603833,2025-06-27 20:13:38.773216
-4.214908,0.044888973,0.044888973,2025-06-20,2025-06-27,sh.603986,2025-06-27 20:13:38.773216
-3.9651906,0.039845824,0.039845824,2025-06-20,2025-06-27,sh.603993,2025-06-27 20:13:38.773216
-3.2423217,0.044763446,0.044763446,2025-06-20,2025-06-27,sz.000001,2025-06-27 20:13:38.773216
-4.3521504,0.015898228,0.015898228,2025-06-20,2025-06-27,sz.000002,2025-06-27 20:13:38.773216
-4.0635605,0.0374676,0.0374676,2025-06-20,2025-06-27,sz.000063,2025-06-27 20:13:38.773216
-3.949898,-0.011494279,-0.011494279,2025-06-20,2025-06-27,sz.000100,2025-06-27 20:13:38.773216
-3.803962,0.02836883,0.02836883,2025-06-20,2025-06-27,sz.000157,2025-06-27 20:13:38.773216
-3.9088519,0.062761545,0.062761545,2025-06-20,2025-06-27,sz.000166,2025-06-27 20:13:38.773216
-3.6814058,0.024509788,0.024509788,2025-06-20,2025-06-27,sz.000301,2025-06-27 20:13:38.773216
-3.7929466,0.009394884,0.009394884,2025-06-20,2025-06-27,sz.000333,2025-06-27 20:13:38.773216
-3.983503,0.020956159,0.020956159,2025-06-20,2025-06-27,sz.000338,2025-06-27 20:13:38.773216
-3.6959016,0.04117644,0.04117644,2025-06-20,2025-06-27,sz.000408,2025-06-27 20:13:38.773216
-3.6735804,0.014322877,0.014322877,2025-06-20,2025-06-27,sz.000425,2025-06-27 20:13:38.773216
-3.9393752,0.023078203,0.023078203,2025-06-20,2025-06-27,sz.000538,2025-06-27 20:13:38.773216
-4.417056,-0.0077124834,-0.0077124834,2025-06-20,2025-06-27,sz.000568,2025-06-27 20:13:38.773216
-3.8201756,-0.020266533,-0.020266533,2025-06-20,2025-06-27,sz.000596,2025-06-27 20:13:38.773216
-3.9650686,0.04680848,0.04680848,2025-06-20,2025-06-27,sz.000617,2025-06-27 20:13:38.773216
