score,y,profit,time,target,code,predcit_time
-3.993355,0.054977655,0.054977655,2025-06-25,2025-07-02,sh.600000,2025-07-02 20:13:38.452612
-4.243938,-0.0059747696,-0.0059747696,2025-06-25,2025-07-02,sh.600009,2025-07-02 20:13:38.452612
-3.883901,0.0,0.0,2025-06-25,2025-07-02,sh.600010,2025-07-02 20:13:38.452612
-4.0046024,-0.020463884,-0.020463884,2025-06-25,2025-07-02,sh.600011,2025-07-02 20:13:38.452612
-4.0287743,0.004999995,0.004999995,2025-06-25,2025-07-02,sh.600015,2025-07-02 20:13:38.452612
-3.9199283,0.002070427,0.002070427,2025-06-25,2025-07-02,sh.600016,2025-07-02 20:13:38.452612
-3.9143217,-0.01877129,-0.01877129,2025-06-25,2025-07-02,sh.600018,2025-07-02 20:13:38.452612
-4.066675,0.0015175343,0.0015175343,2025-06-25,2025-07-02,sh.600019,2025-07-02 20:13:38.452612
-3.9132707,0.0,0.0,2025-06-25,2025-07-02,sh.600023,2025-07-02 20:13:38.452612
-3.9484737,-0.015290558,-0.015290558,2025-06-25,2025-07-02,sh.600025,2025-07-02 20:13:38.452612
-4.0179005,-0.007692337,-0.007692337,2025-06-25,2025-07-02,sh.600026,2025-07-02 20:13:38.452612
-3.797383,-0.021314442,-0.021314442,2025-06-25,2025-07-02,sh.600027,2025-07-02 20:13:38.452612
-3.913005,-0.0017604828,-0.0017604828,2025-06-25,2025-07-02,sh.600028,2025-07-02 20:13:38.452612
-3.966883,-0.003395617,-0.003395617,2025-06-25,2025-07-02,sh.600029,2025-07-02 20:13:38.452612
-4.068848,-0.022475898,-0.022475898,2025-06-25,2025-07-02,sh.600030,2025-07-02 20:13:38.452612
-3.9958408,-0.011660218,-0.011660218,2025-06-25,2025-07-02,sh.600031,2025-07-02 20:13:38.452612
-3.942602,-0.016842127,-0.016842127,2025-06-25,2025-07-02,sh.600036,2025-07-02 20:13:38.452612
-4.0638556,-0.01393038,-0.01393038,2025-06-25,2025-07-02,sh.600039,2025-07-02 20:13:38.452612
-3.7955916,-0.0024845004,-0.0024845004,2025-06-25,2025-07-02,sh.600048,2025-07-02 20:13:38.452612
-3.9853847,0.0038228035,0.0038228035,2025-06-25,2025-07-02,sh.600050,2025-07-02 20:13:38.452612
-3.8111012,-0.022251248,-0.022251248,2025-06-25,2025-07-02,sh.600061,2025-07-02 20:13:38.452612
-3.9400537,-0.0011962056,-0.0011962056,2025-06-25,2025-07-02,sh.600066,2025-07-02 20:13:38.452612
-4.217828,1.50203705e-05,1.50203705e-05,2025-06-25,2025-07-02,sh.600085,2025-07-02 20:13:38.452612
-3.8635085,0.015306115,0.015306115,2025-06-25,2025-07-02,sh.600089,2025-07-02 20:13:38.452612
-3.9231665,-0.012345731,-0.012345731,2025-06-25,2025-07-02,sh.600104,2025-07-02 20:13:38.452612
-4.074266,0.006493449,0.006493449,2025-06-25,2025-07-02,sh.600111,2025-07-02 20:13:38.452612
-3.9678028,-0.01719904,-0.01719904,2025-06-25,2025-07-02,sh.600115,2025-07-02 20:13:38.452612
-3.764785,0.0682323,0.0682323,2025-06-25,2025-07-02,sh.600150,2025-07-02 20:13:38.452612
-3.6701925,0.055656552,0.055656552,2025-06-25,2025-07-02,sh.600160,2025-07-02 20:13:38.452612
-4.1619287,-0.0010389686,-0.0010389686,2025-06-25,2025-07-02,sh.600161,2025-07-02 20:13:38.452612
-3.939049,0.057522178,0.057522178,2025-06-25,2025-07-02,sh.600176,2025-07-02 20:13:38.452612
-4.208447,0.026907444,0.026907444,2025-06-25,2025-07-02,sh.600183,2025-07-02 20:13:38.452612
-4.1773057,-0.0065466166,-0.0065466166,2025-06-25,2025-07-02,sh.600188,2025-07-02 20:13:38.452612
-4.563263,0.015656471,0.015656471,2025-06-25,2025-07-02,sh.600196,2025-07-02 20:13:38.452612
-3.8553395,0.026595712,0.026595712,2025-06-25,2025-07-02,sh.600219,2025-07-02 20:13:38.452612
-4.0376883,-0.025229335,-0.025229335,2025-06-25,2025-07-02,sh.600233,2025-07-02 20:13:38.452612
-3.9063687,-0.010387123,-0.010387123,2025-06-25,2025-07-02,sh.600276,2025-07-02 20:13:38.452612
-3.9342196,0.006901622,0.006901622,2025-06-25,2025-07-02,sh.600309,2025-07-02 20:13:38.452612
-4.1000476,0.004569769,0.004569769,2025-06-25,2025-07-02,sh.600332,2025-07-02 20:13:38.452612
-4.014927,0.0007032156,0.0007032156,2025-06-25,2025-07-02,sh.600346,2025-07-02 20:13:38.452612
-4.0451922,0.06281066,0.06281066,2025-06-25,2025-07-02,sh.600362,2025-07-02 20:13:38.452612
