volume,code,psTTM,high,adjustflag,tradestatus,pbMRQ,preclose,pctChg,open,close,peTTM,isST,turn,pcfNcfTTM,low,date,amount,time
4624017,sh.600436,11.933316,110.6100,3,1,10.494264,109.8700,-0.591600,109.9900,109.2200,49.468683,0,0.766400,32.491064,108.6300,2020-01-02,506134415.0000,2020-01-02
3210961,sh.600436,11.909278,109.5800,3,1,10.473125,109.2200,-0.201400,109.5000,109.0000,49.369039,0,0.532200,32.425618,108.2200,2020-01-03,349794648.0000,2020-01-03
3780899,sh.600436,11.869945,109.5100,3,1,10.438535,109.0000,-0.330300,108.2900,108.6400,49.205985,0,0.626700,32.318524,108.0400,2020-01-06,411097050.0000,2020-01-06
3931650,sh.600436,12.024001,110.0700,3,1,10.574013,108.6400,1.297900,108.9400,110.0500,49.844612,0,0.651700,32.737975,107.7500,2020-01-07,428715925.0000,2020-01-07
3306038,sh.600436,12.007612,111.2000,3,1,10.559601,110.0500,-0.136300,109.6700,109.9000,49.776673,0,0.548000,32.693352,109.2000,2020-01-08,364244805.0000,2020-01-08
8350229,sh.600436,12.466502,115.2300,3,1,10.963152,109.9000,3.821700,110.5900,114.1000,51.678966,0,1.384100,33.942780,109.8300,2020-01-09,943967424.0000,2020-01-09
4410273,sh.600436,12.526594,115.2800,3,1,11.015998,114.1000,0.482000,114.3000,114.6500,51.928076,0,0.731000,34.106395,113.4000,2020-01-10,504900283.0000,2020-01-10
6034772,sh.600436,12.692669,116.3700,3,1,11.162046,114.6500,1.325800,114.7700,116.1700,52.616525,0,1.000300,34.558569,113.4700,2020-01-13,694164710.0000,2020-01-13
3185393,sh.600436,12.526594,116.8700,3,1,11.015998,116.1700,-1.308400,116.3900,114.6500,51.928076,0,0.528000,34.106395,114.4600,2020-01-14,367185567.0000,2020-01-14
3212652,sh.600436,12.632576,116.4300,3,1,11.109200,114.6500,0.846100,114.7000,115.6200,52.367415,0,0.532500,34.394953,114.5200,2020-01-15,372003898.0000,2020-01-15
4318125,sh.600436,12.985484,118.8500,3,1,11.419550,115.6200,2.793600,116.1000,118.8500,53.830370,0,0.715700,35.355823,115.2100,2020-01-16,506796555.0000,2020-01-16
7876161,sh.600436,13.480429,124.9400,3,1,11.854809,118.8500,3.811500,118.7800,123.3800,55.882129,0,1.305500,36.703420,118.3300,2020-01-17,960074998.0000,2020-01-17
7334065,sh.600436,13.230215,129.0000,3,1,12.105588,123.3800,2.115400,123.0000,125.9900,55.310616,0,1.215600,37.479849,122.0000,2020-01-20,926490342.0000,2020-01-20
