volume,code,psTTM,high,adjustflag,tradestatus,pbMRQ,preclose,pctChg,open,close,peTTM,isST,turn,pcfNcfTTM,low,date,amount,time
24267354,sh.688082,37.826756,141.0000,3,1,46.445221,85.0000,52.647100,122.0000,129.7500,252.244292,0,72.488500,-290.531350,122.0000,2021-11-18,3139353917.7600,2021-11-18
8909527,sh.688082,36.520676,132.9000,3,1,44.841563,129.7500,-3.452800,130.9900,125.2700,243.534817,0,26.613400,-280.499901,122.5600,2021-11-19,1131714159.9300,2021-11-19
9184382,sh.688082,40.202772,141.0000,3,1,49.362589,125.2700,10.082200,122.5100,137.9000,268.088538,0,27.434500,-308.780525,122.2800,2021-11-22,1226113214.9700,2021-11-22
5122436,sh.688082,39.325249,137.4400,3,1,48.285132,137.9000,-2.182700,135.1000,134.8900,262.236860,0,15.301100,-302.040646,129.2000,2021-11-23,684422966.1300,2021-11-23
4320657,sh.688082,38.377758,140.3100,3,1,47.121764,134.8900,-2.409400,134.0000,131.6400,255.918602,0,12.906100,-294.763367,130.6300,2021-11-24,587254222.9200,2021-11-24
3139684,sh.688082,38.371928,138.0700,3,1,47.114605,131.6400,-0.015200,133.5000,131.6200,255.879720,0,9.378500,-294.718584,130.3200,2021-11-25,419280644.3400,2021-11-25
3204022,sh.688082,39.068698,138.0000,3,1,47.970127,131.6200,1.815800,133.5200,134.0100,260.526070,0,9.570700,-300.070182,131.5100,2021-11-26,431220795.6300,2021-11-26
3542580,sh.688082,37.197039,136.7000,3,1,45.672029,134.0100,-4.790700,131.0200,127.5900,248.045081,0,10.582000,-285.694758,127.0000,2021-11-29,464588532.8900,2021-11-29
2209511,sh.688082,37.406945,132.5000,3,1,45.929759,127.5900,0.564300,128.1000,128.3100,249.444818,0,6.600000,-287.306955,127.2200,2021-11-30,286307930.1700,2021-11-30
2349459,sh.688082,36.267040,131.4000,3,1,44.530138,128.3100,-3.047300,126.3900,124.4000,241.843468,0,7.018000,-278.551830,123.6800,2021-12-01,296871751.2000,2021-12-01
3018462,sh.688082,37.176631,131.6100,3,1,45.646971,124.4000,2.508000,125.1000,127.5200,247.908995,0,9.016400,-285.538017,125.1000,2021-12-02,389542998.0500,2021-12-02
1889575,sh.688082,37.529390,129.7700,3,1,46.080102,127.5200,0.948900,128.9900,128.7300,250.261331,0,5.644300,-288.247404,125.0100,2021-12-03,240757590.9800,2021-12-03
2870977,sh.688082,38.401081,137.2900,3,1,47.150401,128.7300,2.322700,128.2300,131.7200,256.074128,0,8.575800,-294.942500,125.8000,2021-12-06,381528252.5000,2021-12-06
2188938,sh.688082,38.418573,136.4800,3,1,47.171878,131.7200,0.045600,132.0000,131.7800,256.190773,0,6.538500,-295.076850,127.8800,2021-12-07,287616095.1900,2021-12-07
1511825,sh.688082,39.226127,136.9800,3,1,48.163425,131.7800,2.102000,135.0000,134.5500,261.575873,0,4.515900,-301.279330,132.6000,2021-12-08,203704164.3400,2021-12-08
1920810,sh.688082,37.549797,135.0000,3,1,46.105159,134.5500,-4.273500,135.0000,128.8000,250.397417,0,5.737600,-288.404145,128.0100,2021-12-09,250829996.8400,2021-12-09
1718692,sh.688082,37.129986,129.6300,3,1,45.589698,128.8000,-1.118000,127.8000,127.3600,247.597942,0,5.133900,-285.179751,126.5300,2021-12-10,219461479.1800,2021-12-10
