volume,code,psTTM,high,adjustflag,tradestatus,pbMRQ,preclose,pctChg,open,close,peTTM,isST,turn,pcfNcfTTM,low,date,amount,time
123387685,sh.688303,22.860084,80.2100,3,1,22.399324,21.4900,184.364800,80.0100,61.1100,85.688062,0,62.151400,189.808307,59.5400,2021-07-22,8198709945.7200,2021-07-22
58011167,sh.688303,23.372575,66.6500,3,1,22.901485,61.1100,2.241900,61.6800,62.4800,87.609067,0,29.220700,194.063542,57.6800,2021-07-23,3666072398.4000,2021-07-23
49615689,sh.688303,26.559745,71.0000,3,1,26.024415,62.4800,13.636400,63.0500,71.0000,99.555758,0,24.991800,220.526752,62.5100,2021-07-26,3316513843.0800,2021-07-26
45405420,sh.688303,25.130755,76.4000,3,1,24.624228,71.0000,-5.380300,72.6000,67.1800,94.199378,0,22.871100,208.661791,66.3000,2021-07-27,3257141945.0000,2021-07-27
33453818,sh.688303,26.410112,72.2000,3,1,25.877799,67.1800,5.090800,66.8800,70.6000,98.994881,0,16.851000,219.284348,65.2500,2021-07-28,2299264714.9000,2021-07-28
31912743,sh.688303,26.847787,73.6000,3,1,26.306652,70.6000,1.657200,73.1000,71.7700,100.635448,0,16.074700,222.918380,68.7400,2021-07-29,2273816708.9800,2021-07-29
33458240,sh.688303,24.577116,71.7400,3,1,24.081747,71.7700,-8.457600,70.8000,65.7000,92.124131,0,16.853200,204.064896,64.6100,2021-07-30,2264756123.7100,2021-07-30
24013836,sh.688303,25.299092,69.9800,3,1,24.789172,65.7000,2.937600,64.2400,67.6300,94.830365,0,12.096000,210.059496,64.0100,2021-08-02,1631534365.0000,2021-08-02
22095795,sh.688303,23.716730,68.2000,3,1,23.238703,67.6300,-6.254600,67.3900,63.4000,88.899086,0,11.129800,196.921071,62.4000,2021-08-03,1425061992.9900,2021-08-03
31430905,sh.688303,26.410112,70.8800,3,1,25.877799,63.4000,11.356500,63.8300,70.6000,98.994881,0,15.832000,219.284348,63.0700,2021-08-04,2143290707.6000,2021-08-04
26053715,sh.688303,27.139570,75.0000,3,1,26.592554,70.6000,2.762000,69.0000,72.5500,101.729159,0,13.123500,225.341068,68.5500,2021-08-05,1875046729.2300,2021-08-05
16354538,sh.688303,26.885195,73.7500,3,1,26.343306,72.5500,-0.937300,72.5000,71.8700,100.775667,0,8.237900,223.228981,69.2200,2021-08-06,1167245764.6400,2021-08-06
19429321,sh.688303,26.473706,72.2900,3,1,25.940111,71.8700,-1.530500,70.7000,70.7700,99.233254,0,9.786700,219.812369,66.8300,2021-08-09,1343183094.8900,2021-08-09
15717395,sh.688303,25.882658,73.9600,3,1,25.360976,70.7700,-2.232600,70.5000,69.1900,97.017788,0,7.917000,214.904873,67.7500,2021-08-10,1103507374.7600,2021-08-10
19134433,sh.688303,24.809046,68.4200,3,1,24.309003,69.1900,-4.148000,68.2800,66.3200,92.993492,0,9.638200,205.990622,65.9400,2021-08-11,1281902894.9700,2021-08-11
15549287,sh.688303,25.213053,67.5000,3,1,24.704867,66.3200,1.628500,66.7800,67.4000,94.507861,0,7.832300,209.345114,64.8800,2021-08-12,1026692845.2400,2021-08-12
10429223,sh.688303,24.483595,67.2500,3,1,23.990112,67.4000,-2.893200,66.4700,65.4500,91.773583,0,5.253300,203.288393,65.2000,2021-08-13,687758095.3900,2021-08-13
9858904,sh.688303,24.087070,66.8000,3,1,23.601579,65.4500,-1.619600,64.2600,64.3900,90.287258,0,4.966000,199.996022,63.8600,2021-08-16,641269760.8300,2021-08-16
11991639,sh.688303,24.483595,66.1700,3,1,23.990112,64.3900,1.646200,64.8300,65.4500,91.773583,0,6.040300,203.288393,64.0000,2021-08-17,781027506.1500,2021-08-17
9636798,sh.688303,24.259147,65.7500,3,1,23.770187,65.4500,-0.916700,65.7000,64.8500,90.932267,0,4.854100,201.424787,62.8600,2021-08-18,618850600.0900,2021-08-18
14819072,sh.688303,18.141879,68.5000,3,1,18.712622,64.8500,2.421000,67.4000,66.4200,44.170844,0,7.464500,152.833821,65.5600,2021-08-19,994168474.2200,2021-08-19
13325901,sh.688303,17.562825,66.0900,3,1,18.115350,66.4200,-3.191800,66.0100,64.3000,42.760994,0,6.712400,147.955656,62.5500,2021-08-20,854771311.6200,2021-08-20
14536328,sh.688303,18.486034,68.1500,3,1,19.067604,64.3000,5.256600,65.6800,67.6800,45.008773,0,7.322100,155.733107,64.6000,2021-08-23,972226568.8900,2021-08-23
29560266,sh.688303,20.482679,78.2800,3,1,21.127063,67.6800,10.800800,68.4300,74.9900,49.870093,0,14.889700,172.553571,68.2500,2021-08-24,2157572820.5600,2021-08-24
23386226,sh.688303,21.605279,80.2400,3,1,22.284980,74.9900,5.480700,74.3900,79.1000,52.603338,0,11.779800,182.010768,73.6700,2021-08-25,1798386306.0100,2021-08-25
17049664,sh.688303,21.517875,81.5000,3,1,22.194826,79.1000,-0.404600,78.5000,78.7800,52.390531,0,8.588100,181.274441,77.3100,2021-08-26,1352556522.0100,2021-08-26
22267145,sh.688303,23.853211,88.8000,3,1,24.603632,78.7800,10.853000,78.0000,87.3300,58.076479,0,11.216100,200.948171,77.3500,2021-08-27,1885495269.0700,2021-08-27
27411537,sh.688303,24.582492,96.0000,3,1,25.355856,87.3300,3.057400,88.9000,90.0000,59.852092,0,13.807400,207.091898,87.9000,2021-08-30,2502572480.1500,2021-08-30
17027402,sh.688303,24.863825,92.0000,3,1,25.646040,90.0000,1.144400,89.9800,91.0300,60.537065,0,8.576800,209.461950,86.8000,2021-08-31,1525869367.7500,2021-08-31
26028020,sh.688303,22.260812,92.4400,3,1,22.961136,91.0300,-10.469100,91.7700,81.5000,54.199394,0,13.110500,187.533219,79.3500,2021-09-01,2174542306.5800,2021-09-01
