volume,code,psTTM,high,adjustflag,tradestatus,pbMRQ,preclose,pctChg,open,close,peTTM,isST,turn,pcfNcfTTM,low,date,amount,time
179681147,sz.000425,0.848100,5.9600,3,1,1.631314,5.4700,6.032900,5.5500,5.8000,12.770448,0,2.568700,11.842022,5.5400,2020-01-02,1039073216.2000,2020-01-02
99420548,sz.000425,0.845176,5.8500,3,1,1.625689,5.8000,-0.344800,5.8200,5.7800,12.726412,0,1.421300,11.801187,5.7100,2020-01-03,574220646.5800,2020-01-03
248780807,sz.000425,0.814469,5.9200,3,1,1.566624,5.7800,-3.633200,5.7400,5.5700,12.264034,0,3.556500,11.372425,5.4300,2020-01-06,1411194169.7100,2020-01-06
116583612,sz.000425,0.823242,5.7400,3,1,1.583500,5.5700,1.077200,5.5800,5.6300,12.396142,0,1.666700,11.494928,5.5700,2020-01-07,657402529.7100,2020-01-07
100013921,sz.000425,0.811544,5.6700,3,1,1.560999,5.6300,-1.421000,5.6000,5.5500,12.219998,0,1.429800,11.331590,5.5100,2020-01-08,558259772.4200,2020-01-08
83843587,sz.000425,0.820318,5.6700,3,1,1.577875,5.5500,1.081100,5.6300,5.6100,12.352106,0,1.198600,11.454094,5.5600,2020-01-09,469204076.7200,2020-01-09
111004100,sz.000425,0.837865,5.7800,3,1,1.611626,5.6100,2.139000,5.6300,5.7300,12.616322,0,1.586900,11.699101,5.5700,2020-01-10,631476148.1900,2020-01-10
80538144,sz.000425,0.843714,5.8100,3,1,1.622876,5.7300,0.698100,5.7500,5.7700,12.704394,0,1.151400,11.780770,5.6900,2020-01-13,461875981.1800,2020-01-13
83713770,sz.000425,0.823242,5.7800,3,1,1.583500,5.7700,-2.426300,5.7300,5.6300,12.396142,0,1.196800,11.494928,5.6200,2020-01-14,475717863.7100,2020-01-14
71395029,sz.000425,0.815931,5.6500,3,1,1.569437,5.6300,-0.888100,5.6400,5.5800,12.286052,0,1.020700,11.392842,5.4700,2020-01-15,395524684.8100,2020-01-15
56421759,sz.000425,0.805695,5.6200,3,1,1.549749,5.5800,-1.254500,5.5900,5.5100,12.131926,0,0.806600,11.249921,5.5000,2020-01-16,312296166.0300,2020-01-16
65210311,sz.000425,0.814469,5.5900,3,1,1.566624,5.5100,1.088900,5.5300,5.5700,12.264034,0,0.932200,11.372425,5.5000,2020-01-17,361934022.6700,2020-01-17
82093739,sz.000425,0.833478,5.7400,3,1,1.603188,5.5700,2.333900,5.6000,5.7000,12.550268,0,1.173600,11.637849,5.6000,2020-01-20,466373206.6300,2020-01-20
186312352,sz.000425,0.782299,5.6900,3,1,1.504747,5.7000,-6.140300,5.6900,5.3500,11.779637,0,2.663500,10.923244,5.2500,2020-01-21,1010119384.6400,2020-01-21
100466512,sz.000425,0.793997,5.4600,3,1,1.527248,5.3500,1.495300,5.3200,5.4300,11.955781,0,1.436300,11.086583,5.2400,2020-01-22,538911803.3500,2020-01-22
114385168,sz.000425,0.758904,5.4500,3,1,1.459745,5.4300,-4.419900,5.3500,5.1900,11.427349,0,1.635200,10.596568,5.1500,2020-01-23,603659275.8100,2020-01-23
33556100,sz.000425,0.682867,4.6700,3,1,1.313489,5.1900,-10.019300,4.6700,4.6700,10.282412,0,0.479700,9.534869,4.6700,2020-02-03,156706987.0000,2020-02-03
185324192,sz.000425,0.687254,4.7400,3,1,1.321927,4.6700,0.642400,4.4000,4.7000,10.348466,0,2.649400,9.596121,4.4000,2020-02-04,859228158.7800,2020-02-04
146378640,sz.000425,0.690178,4.8700,3,1,1.327552,4.7000,0.425500,4.7300,4.7200,10.392502,0,2.092600,9.636956,4.6500,2020-02-05,697017463.1900,2020-02-05
108077778,sz.000425,0.698952,4.8200,3,1,1.344428,4.7200,1.271200,4.7200,4.7800,10.524611,0,1.545100,9.759460,4.6300,2020-02-06,512782030.2800,2020-02-06
91652605,sz.000425,0.694565,4.8000,3,1,1.335990,4.7800,-0.627600,4.7500,4.7500,10.458556,0,1.310300,9.698208,4.6800,2020-02-07,433545297.3000,2020-02-07
132213279,sz.000425,0.722348,4.9800,3,1,1.389430,4.7500,4.000000,4.7200,4.9400,10.876899,0,1.890100,10.086136,4.6800,2020-02-10,644519211.9300,2020-02-10
127324591,sz.000425,0.716499,5.0100,3,1,1.378179,4.9400,-0.809700,4.9100,4.9000,10.788827,0,1.820200,10.004467,4.8700,2020-02-11,628265314.0500,2020-02-11
106946135,sz.000425,0.723810,4.9700,3,1,1.392242,4.9000,1.020400,4.8800,4.9500,10.898917,0,1.528900,10.106553,4.8200,2020-02-12,523252583.0100,2020-02-12
108839779,sz.000425,0.717961,5.0600,3,1,1.380992,4.9500,-0.808100,4.9500,4.9100,10.810845,0,1.556000,10.024884,4.8900,2020-02-13,540166802.8000,2020-02-13
93916767,sz.000425,0.722348,4.9600,3,1,1.389430,4.9100,0.611000,4.8800,4.9400,10.876899,0,1.342600,10.086136,4.8500,2020-02-14,461515317.6500,2020-02-14
112939092,sz.000425,0.744281,5.0900,3,1,1.431619,4.9400,3.036400,4.9400,5.0900,11.207169,0,1.614600,10.392395,4.9300,2020-02-17,568662189.8500,2020-02-17
110456029,sz.000425,0.747206,5.1700,3,1,1.437244,5.0900,0.392900,5.1000,5.1100,11.251205,0,1.579100,10.433230,5.0500,2020-02-18,563328958.5600,2020-02-18
112074945,sz.000425,0.747206,5.1800,3,1,1.437244,5.1100,-0.978500,5.1000,5.0600,11.251205,0,1.602200,10.433230,5.0500,2020-02-19,572266986.6000,2020-02-19
137711631,sz.000425,0.763290,5.2300,3,1,1.468183,5.0600,3.162100,5.0700,5.2200,11.493403,0,1.968700,10.657820,5.0500,2020-02-20,707221492.2800,2020-02-20
132332561,sz.000425,0.776451,5.3500,3,1,1.493496,5.2200,1.724100,5.2200,5.3100,11.691565,0,1.891800,10.841575,5.1800,2020-02-21,696812136.2400,2020-02-21
116701197,sz.000425,0.782299,5.3900,3,1,1.504747,5.3100,0.753300,5.2800,5.3500,11.779637,0,1.668300,10.923244,5.2200,2020-02-24,617600649.5200,2020-02-24
